Plot	Fert	Level	Strip	Class	Parameter	Value
9	A45	P3	1	Sl4	Na.a	7.2
9	A45	P3	1	Sl4	P.a	14.2
9	A45	P3	1	Sl4	K.a	31.1
9	A45	P3	1	Sl4	Ca.a	47
9	A45	P3	1	Sl4	Mg.a	4.8
9	A45	P3	1	Sl4	P.t	61.4
9	A45	P3	1	Sl4	K.t	163.7
9	A45	P3	1	Sl4	Ca.t	1616
9	A45	P3	1	Sl4	Mg.t	42.1
9	A45	P3	1	Sl4	B	0.3
9	A45	P3	1	Sl4	Mn	140
9	A45	P3	1	Sl4	Cu	11.9
9	A45	P3	1	Sl4	Fe	210
10	T0	P1	1	Sl4	Humus	4.5
10	T0	P1	1	Sl4	Clay	11
10	T0	P1	1	Sl4	Silt	31
10	T0	P1	1	Sl4	pH	6.1
10	T0	P1	1	Sl4	Na.a	5.4
10	T0	P1	1	Sl4	P.a	3.1
10	T0	P1	1	Sl4	K.a	30.7
10	T0	P1	1	Sl4	Ca.a	43
10	T0	P1	1	Sl4	Mg.a	4.8
10	T0	P1	1	Sl4	P.t	21.9
10	T0	P1	1	Sl4	K.t	136
10	T0	P1	1	Sl4	Ca.t	1727
10	T0	P1	1	Sl4	Mg.t	45.6
10	T0	P1	1	Sl4	B	0.4
10	T0	P1	1	Sl4	Mn	147
10	T0	P1	1	Sl4	Cu	13.2
10	T0	P1	1	Sl4	Fe	192
11	T45	P2	1	Ls4	Humus	4.5
11	T45	P2	1	Ls4	Clay	16
11	T45	P2	1	Ls4	Silt	31
11	T45	P2	1	Ls4	pH	6.1
11	T45	P2	1	Ls4	Na.a	5
11	T45	P2	1	Ls4	P.a	4.9
11	T45	P2	1	Ls4	K.a	21.6
11	T45	P2	1	Ls4	Ca.a	39.3
11	T45	P2	1	Ls4	Mg.a	5.2
11	T45	P2	1	Ls4	P.t	40.4
11	T45	P2	1	Ls4	K.t	126.1
11	T45	P2	1	Ls4	Ca.t	1422
11	T45	P2	1	Ls4	Mg.t	40.9
11	T45	P2	1	Ls4	B	0.5
11	T45	P2	1	Ls4	Mn	120
11	T45	P2	1	Ls4	Cu	9.7
11	T45	P2	1	Ls4	Fe	170
12	T135	P3	1	Sl4	Humus	4.5
12	T135	P3	1	Sl4	Clay	11
12	T135	P3	1	Sl4	Silt	31
12	T135	P3	1	Sl4	pH	5.8
12	T135	P3	1	Sl4	Na.a	6.4
12	T135	P3	1	Sl4	P.a	23.8
12	T135	P3	1	Sl4	K.a	32.2
12	T135	P3	1	Sl4	Ca.a	55.1
12	T135	P3	1	Sl4	Mg.a	5.2
12	T135	P3	1	Sl4	P.t	79.8
12	T135	P3	1	Sl4	K.t	186.4
12	T135	P3	1	Sl4	Ca.t	1520
12	T135	P3	1	Sl4	Mg.t	41.7
12	T135	P3	1	Sl4	B	0.2
12	T135	P3	1	Sl4	Mn	137
12	T135	P3	1	Sl4	Cu	12.6
12	T135	P3	1	Sl4	Fe	213
13	A0	P1	2	Sl4	Humus	4.5
13	A0	P1	2	Sl4	Clay	11
13	A0	P1	2	Sl4	Silt	31
13	A0	P1	2	Sl4	pH	6.6
13	A0	P1	2	Sl4	Na.a	8.3
13	A0	P1	2	Sl4	P.a	1.4
13	A0	P1	2	Sl4	K.a	43
13	A0	P1	2	Sl4	Ca.a	90
13	A0	P1	2	Sl4	Mg.a	7.5
13	A0	P1	2	Sl4	P.t	24.4
13	A0	P1	2	Sl4	K.t	162.4
13	A0	P1	2	Sl4	Ca.t	2299
13	A0	P1	2	Sl4	Mg.t	76.3
13	A0	P1	2	Sl4	B	1.5
13	A0	P1	2	Sl4	Mn	249
13	A0	P1	2	Sl4	Cu	12.9
13	A0	P1	2	Sl4	Fe	210
14	A15	P2	2	Sl4	Humus	4.5
14	A15	P2	2	Sl4	Clay	11
14	A15	P2	2	Sl4	Silt	31
14	A15	P2	2	Sl4	pH	6.9
14	A15	P2	2	Sl4	Na.a	17.8
14	A15	P2	2	Sl4	P.a	2
14	A15	P2	2	Sl4	K.a	29.9
14	A15	P2	2	Sl4	Ca.a	101.2
14	A15	P2	2	Sl4	Mg.a	7.4
14	A15	P2	2	Sl4	P.t	50.4
14	A15	P2	2	Sl4	K.t	155.9
14	A15	P2	2	Sl4	Ca.t	2765
14	A15	P2	2	Sl4	Mg.t	93.8
14	A15	P2	2	Sl4	B	2.2
14	A15	P2	2	Sl4	Mn	286
14	A15	P2	2	Sl4	Cu	13.9
14	A15	P2	2	Sl4	Fe	242
15	A45	P3	2	Sl4	Humus	4.5
15	A45	P3	2	Sl4	Clay	11
15	A45	P3	2	Sl4	Silt	31
15	A45	P3	2	Sl4	pH	7
15	A45	P3	2	Sl4	Na.a	9.2
15	A45	P3	2	Sl4	P.a	5.9
15	A45	P3	2	Sl4	K.a	24.4
15	A45	P3	2	Sl4	Ca.a	106
15	A45	P3	2	Sl4	Mg.a	7.6
15	A45	P3	2	Sl4	P.t	84.6
15	A45	P3	2	Sl4	K.t	137.1
15	A45	P3	2	Sl4	Ca.t	2610
15	A45	P3	2	Sl4	Mg.t	85.2
15	A45	P3	2	Sl4	B	2.2
15	A45	P3	2	Sl4	Mn	272
15	A45	P3	2	Sl4	Cu	14.3
15	A45	P3	2	Sl4	Fe	272
16	T0	P1	2	Sl4	Humus	4.5
16	T0	P1	2	Sl4	Clay	11
16	T0	P1	2	Sl4	Silt	31
16	T0	P1	2	Sl4	pH	7
16	T0	P1	2	Sl4	Na.a	8.6
16	T0	P1	2	Sl4	P.a	0.9
16	T0	P1	2	Sl4	K.a	30.2
16	T0	P1	2	Sl4	Ca.a	93.5
16	T0	P1	2	Sl4	Mg.a	6.5
16	T0	P1	2	Sl4	P.t	50.8
16	T0	P1	2	Sl4	K.t	198.6
16	T0	P1	2	Sl4	Ca.t	2508
16	T0	P1	2	Sl4	Mg.t	75.1
16	T0	P1	2	Sl4	B	2
16	T0	P1	2	Sl4	Mn	268
16	T0	P1	2	Sl4	Cu	14.7
16	T0	P1	2	Sl4	Fe	233
17	T45	P2	2	Sl4	Humus	4.5
17	T45	P2	2	Sl4	Clay	11
17	T45	P2	2	Sl4	Silt	31
17	T45	P2	2	Sl4	pH	6.7
17	T45	P2	2	Sl4	Na.a	6.4
17	T45	P2	2	Sl4	P.a	2.6
17	T45	P2	2	Sl4	K.a	27
17	T45	P2	2	Sl4	Ca.a	78.3
17	T45	P2	2	Sl4	Mg.a	5.8
17	T45	P2	2	Sl4	P.t	48.3
17	T45	P2	2	Sl4	K.t	180.8
17	T45	P2	2	Sl4	Ca.t	2230
17	T45	P2	2	Sl4	Mg.t	58.9
17	T45	P2	2	Sl4	B	1.3
17	T45	P2	2	Sl4	Mn	232
17	T45	P2	2	Sl4	Cu	13.9
17	T45	P2	2	Sl4	Fe	229
18	T135	P3	2	Sl4	Humus	4.5
18	T135	P3	2	Sl4	Clay	11
18	T135	P3	2	Sl4	Silt	31
18	T135	P3	2	Sl4	pH	6.4
18	T135	P3	2	Sl4	Na.a	8.3
18	T135	P3	2	Sl4	P.a	9.7
18	T135	P3	2	Sl4	K.a	17.8
18	T135	P3	2	Sl4	Ca.a	69.3
18	T135	P3	2	Sl4	Mg.a	5.2
18	T135	P3	2	Sl4	P.t	94.6
18	T135	P3	2	Sl4	K.t	137.4
18	T135	P3	2	Sl4	Ca.t	2097
18	T135	P3	2	Sl4	Mg.t	52.4
18	T135	P3	2	Sl4	B	1.1
18	T135	P3	2	Sl4	Mn	184
18	T135	P3	2	Sl4	Cu	11.1
18	T135	P3	2	Sl4	Fe	216
19	A0	P1	2	Sl4	Humus	4.5
19	A0	P1	2	Sl4	Clay	11
19	A0	P1	2	Sl4	Silt	31
19	A0	P1	2	Sl4	pH	6.6
19	A0	P1	2	Sl4	Na.a	5.8
19	A0	P1	2	Sl4	P.a	2.3
19	A0	P1	2	Sl4	K.a	27.8
19	A0	P1	2	Sl4	Ca.a	55
19	A0	P1	2	Sl4	Mg.a	5.1
19	A0	P1	2	Sl4	P.t	32.1
19	A0	P1	2	Sl4	K.t	157.5
19	A0	P1	2	Sl4	Ca.t	2145
19	A0	P1	2	Sl4	Mg.t	54.9
19	A0	P1	2	Sl4	B	0.9
19	A0	P1	2	Sl4	Mn	197
19	A0	P1	2	Sl4	Cu	13.6
19	A0	P1	2	Sl4	Fe	217
20	A15	P2	2	Sl4	Humus	4.5
20	A15	P2	2	Sl4	Clay	11
20	A15	P2	2	Sl4	Silt	31
20	A15	P2	2	Sl4	pH	6.4
20	A15	P2	2	Sl4	Na.a	5.4
20	A15	P2	2	Sl4	P.a	3.6
20	A15	P2	2	Sl4	K.a	26.7
20	A15	P2	2	Sl4	Ca.a	50.5
20	A15	P2	2	Sl4	Mg.a	4.9
20	A15	P2	2	Sl4	P.t	40.3
20	A15	P2	2	Sl4	K.t	168.3
20	A15	P2	2	Sl4	Ca.t	2055
20	A15	P2	2	Sl4	Mg.t	52.8
20	A15	P2	2	Sl4	B	0.7
20	A15	P2	2	Sl4	Mn	192
20	A15	P2	2	Sl4	Cu	12.5
20	A15	P2	2	Sl4	Fe	208
21	A45	P3	2	Ls4	Humus	4.5
21	A45	P3	2	Ls4	Clay	16
21	A45	P3	2	Ls4	Silt	31
21	A45	P3	2	Ls4	pH	6.5
21	A45	P3	2	Ls4	Na.a	7
21	A45	P3	2	Ls4	P.a	9.7
21	A45	P3	2	Ls4	K.a	24
21	A45	P3	2	Ls4	Ca.a	61.3
21	A45	P3	2	Ls4	Mg.a	5.1
21	A45	P3	2	Ls4	P.t	62.5
21	A45	P3	2	Ls4	K.t	125
21	A45	P3	2	Ls4	Ca.t	2054
21	A45	P3	2	Ls4	Mg.t	51.4
21	A45	P3	2	Ls4	B	0.8
21	A45	P3	2	Ls4	Mn	172
21	A45	P3	2	Ls4	Cu	11.9
21	A45	P3	2	Ls4	Fe	194
22	T0	P1	2	Sl4	Humus	4.5
22	T0	P1	2	Sl4	Clay	11
22	T0	P1	2	Sl4	Silt	31
22	T0	P1	2	Sl4	pH	6.4
22	T0	P1	2	Sl4	Na.a	9.1
22	T0	P1	2	Sl4	P.a	3.2
22	T0	P1	2	Sl4	K.a	21.1
22	T0	P1	2	Sl4	Ca.a	48.6
22	T0	P1	2	Sl4	Mg.a	5.6
22	T0	P1	2	Sl4	P.t	37
22	T0	P1	2	Sl4	K.t	131.9
22	T0	P1	2	Sl4	Ca.t	1823
22	T0	P1	2	Sl4	Mg.t	46.1
22	T0	P1	2	Sl4	B	0.7
22	T0	P1	2	Sl4	Mn	139
22	T0	P1	2	Sl4	Cu	9.3
22	T0	P1	2	Sl4	Fe	151
23	T45	P2	2	Sl4	Humus	4.5
23	T45	P2	2	Sl4	Clay	11
23	T45	P2	2	Sl4	Silt	31
23	T45	P2	2	Sl4	pH	6.6
23	T45	P2	2	Sl4	Na.a	9.2
23	T45	P2	2	Sl4	P.a	5
23	T45	P2	2	Sl4	K.a	20.5
23	T45	P2	2	Sl4	Ca.a	60.8
