SampleId,SampleId_BioRep,Treatment,Bacteria,TechRep,BioRep,Experiment,treatment,TotalShootLength_cm,TotalRootLength_cm,MainRootLength_cm,Boxlab,MainOverTotal,Boxlab2
lowP_NB_1,lowP_NB_1_1,0,NB,1,1,Pi,stress,12.6218,87.9361,8.9707,Pi0000uM,0.102013849,Pi0000uM
lowP_NB_2,lowP_NB_2_1,0,NB,2,1,Pi,stress,14.8071,67.0944,8.3277,Pi0000uM,0.124119152,Pi0000uM
lowP_NB_3,lowP_NB_3_1,0,NB,3,1,Pi,stress,10.433,59.49,8.6154,Pi0000uM,0.144820978,Pi0000uM
lowP_NB_1,lowP_NB_1_2,0,NB,1,2,Pi,stress,15.3565,91.3098,8.5638,Pi0000uM,0.093788399,Pi0000uM
lowP_NB_2,lowP_NB_2_2,0,NB,2,2,Pi,stress,13.4949,79.0024,7.9997,Pi0000uM,0.101258949,Pi0000uM
lowP_NB_3,lowP_NB_3_2,0,NB,3,2,Pi,stress,9.2742,67.9692,8.289333333,Pi0000uM,0.1219572,Pi0000uM
lowP_SC_1,lowP_SC_1_1,0,SC,1,1,Pi,stress,14.2015,55.1191,7.5772,Pi0000uM,0.137469589,Pi0000uM
lowP_SC_2,lowP_SC_2_1,0,SC,2,1,Pi,stress,12.3143,64.926,7.3674,Pi0000uM,0.113473801,Pi0000uM
lowP_SC_3,lowP_SC_3_1,0,SC,3,1,Pi,stress,7.5041,61.4281,6.7987,Pi0000uM,0.110677361,Pi0000uM
lowP_SC_4,lowP_SC_4_1,0,SC,4,1,Pi,stress,10.6094,61.0073,6.4283,Pi0000uM,0.105369357,Pi0000uM
lowP_SC_5,lowP_SC_5_1,0,SC,5,1,Pi,stress,11.5811,72.6023,7.4109,Pi0000uM,0.102075279,Pi0000uM
lowP_SC_6,lowP_SC_6_1,0,SC,6,1,Pi,stress,12.9983,67.8128,6.9598,Pi0000uM,0.102632541,Pi0000uM
