plant,plot,Genotype,Phosphate,TotalLength_cm,TotalProjArea_cm2,TotSurfArea_cm2,Plot
4,10,phr1/phl1,low,362650.8876,762,769.62,Plot10
1,10,phf1,low+Pi,3230625.7968,2072.64,2545.08,Plot10
2,10,phf1,low+Pi,5320021.618,3444.24,2994.66,Plot10
3,10,phf1,low+Pi,5333589.3328,3657.6,2598.42,Plot10
4,10,phf1,low+Pi,3734857.0464,2804.16,2674.62,Plot10
1,10,phr1/phl1,low+Pi,207593.1332,472.44,731.52,Plot10
2,10,phr1/phl1,low+Pi,536244.0888,784.86,1051.56,Plot10
1,11,Col-0,medium,3354309.4204,3131.82,2232.66,Plot11
2,11,Col-0,medium,4101804.6996,2781.3,3345.18,Plot11
3,11,Col-0,medium,4021946.7948,3314.7,2941.32,Plot11
4,11,Col-0,medium,3618095.9896,2834.64,2918.46,Plot11
1,11,phf1,medium,3300883.7208,2499.36,2369.82,Plot11
2,11,phf1,medium,1429177.7868,1645.92,1386.84,Plot11
3,11,phf1,medium,2505265.9572,2133.6,2293.62,Plot11
4,11,phf1,medium,2621394.7572,1935.48,2202.18,Plot11
1,12,phf1,high,2005002.4416,2011.68,2148.84,Plot12
2,12,phf1,high,1064320.452,1440.18,1356.36,Plot12
3,12,phf1,high,2175750.4872,2148.84,2011.68,Plot12
4,12,phf1,high,1283474.8524,2049.78,1653.54,Plot12
1,12,phr1/phl1,high,1134055.7964,1318.26,1356.36,Plot12
2,12,phr1/phl1,high,2409575.826,2255.52,2293.62,Plot12
3,12,phr1/phl1,high,297831.6624,685.8,685.8,Plot12
4,12,phr1/phl1,high,1301416.752,1584.96,1592.58,Plot12
1,12,phr1/phl1,high,417328.1976,929.64,777.24,Plot12
2,12,phr1/phl1,high,406160.478,899.16,701.04,Plot12
3,12,phr1/phl1,high,301005.8496,640.08,830.58,Plot12
4,12,phr1/phl1,high,373199.2536,990.6,899.16,Plot12
1,13,Col-0,low,3385812.5832,2484.12,2727.96,Plot13
2,13,Col-0,low,5645195.1612,3627.12,3878.58,Plot13
3,13,Col-0,low,3780321.4716,2667,2423.16,Plot13
1,13,phf1,low,2339163.0636,2125.98,1965.96,Plot13
2,13,phf1,low,2556033.5976,2080.26,2339.34,Plot13
3,13,phf1,low,1413364.9152,1699.26,1691.64,Plot13
4,13,phf1,low,2105415.144,1958.34,1950.72,Plot13
1,13,phr1/phl1,low,378637.9524,594.36,845.82,Plot13
2,13,phr1/phl1,low,323767.0944,662.94,716.28,Plot13
3,13,phr1/phl1,low,357250.8984,632.46,647.7,Plot13
4,13,phr1/phl1,low,422134.6396,784.86,716.28,Plot13
1,13,Col-0,low+Pi,5324215.158,3147.06,3436.62,Plot13
2,13,Col-0,low+Pi,2579627.0988,2004.06,2590.8,Plot13
3,13,Col-0,low+Pi,1323771.546,1501.14,1676.4,Plot13
4,13,Col-0,low+Pi,5163396.1248,3848.1,3070.86,Plot13
1,13,phf1,low+Pi,2547575.55,2453.64,2133.6,Plot13
2,13,phf1,low+Pi,1401326.2296,1516.38,1638.3,Plot13
3,13,phf1,low+Pi,1668886.9848,1950.72,1714.5,Plot13
4,13,phf1,low+Pi,1298552.2416,1249.68,1691.64,Plot13
1,13,phr1/phl1,low+Pi,857101.5116,1173.48,1112.52,Plot13
2,13,phr1/phl1,low+Pi,1029597.9408,1219.2,1127.76,Plot13
3,13,phr1/phl1,low+Pi,873424.0596,1165.86,1280.16,Plot13
4,13,phr1/phl1,low+Pi,1386868.194,1440.18,1379.22,Plot13
1,14,Col-0,medium,3001000.4496,2278.38,2232.66,Plot14
2,14,Col-0,medium,4109391.7812,3032.76,2933.7,Plot14
3,14,Col-0,medium,3416973.8112,2362.2,2857.5,Plot14
4,14,Col-0,medium,4846616.1132,3002.28,3070.86,Plot14
1,15,Col-0,high,4272888.2284,3307.08,2720.34,Plot15
2,15,Col-0,high,4062243.4884,2865.12,2880.36,Plot15
3,15,Col-0,high,5491472.888,3794.76,3627.12,Plot15
4,15,Col-0,high,2413950.0108,2240.28,2202.18,Plot15
1,15,phf1,high,3811850.4408,2895.6,2956.56,Plot15
2,15,phf1,high,3230954.8284,3025.14,2766.06,Plot15
3,15,phf1,high,2393627.4708,2316.48,2308.86,Plot15
4,15,phf1,high,3368838.4236,2880.36,2857.5,Plot15
1,15,phr1/phl1,high,584166.5736,998.22,929.64,Plot15
2,15,phr1/phl1,high,1234029.79,1447.8,1569.72,Plot15
3,15,phr1/phl1,high,2455349.928,2217.42,2346.96,Plot15
4,15,phr1/phl1,high,687114.7548,1120.14,990.6,Plot15
1,16,phf1,low,1968957.3524,2453.64,1638.3,Plot16
2,16,phf1,low,3756863.454,2987.04,2834.64,Plot16
3,16,phf1,low,2303814.7472,2362.2,1950.72,Plot16
4,16,phf1,low,2451343.4844,2590.8,2522.22,Plot16
1,16,phr1/phl1,low,692579.26,1264.92,1051.56,Plot16
2,16,phr1/phl1,low,930675.558,1226.82,1135.38,Plot16
3,16,phr1/phl1,low,1498351.842,1607.82,1783.08,Plot16
4,16,phr1/phl1,low,1220358.8496,1356.36,1417.32,Plot16
1,16,phf1,low+Pi,1954950.9288,2263.14,1935.48,Plot16
2,16,phf1,low+Pi,3857953.5744,3589.02,2651.76,Plot16
3,16,phf1,low+Pi,5477214.852,3863.34,3726.18,Plot16
4,16,phf1,low+Pi,4253604.396,3025.14,3284.22,Plot16
1,17,phf1,medium,4037456.4412,3070.86,2796.54,Plot17
2,17,phf1,medium,3768824.7204,2575.56,2857.5,Plot17
3,17,phf1,medium,3022135.8912,2773.68,2750.82,Plot17
4,17,phf1,medium,3343670.732,2598.42,2766.06,Plot17
1,18,Col-0,high,3556412.242,2758.44,2819.4,Plot18
2,18,Col-0,high,3662121.708,2583.18,2659.38,Plot18
3,18,Col-0,high,3111303.4548,2286,2621.28,Plot18
4,18,Col-0,high,5117080.0884,3413.76,3291.84,Plot18
1,18,phf1,high,2359292.0556,2034.54,1691.64,Plot18
2,18,phf1,high,3605373.4344,2659.38,2758.44,Plot18
3,18,phf1,high,3978340.4304,2788.92,2743.2,Plot18
4,18,phf1,high,2766710.5956,2324.1,2590.8,Plot18
1,18,phr1/phl1,high,3095761.5504,2407.92,2461.26,Plot18
2,18,phr1/phl1,high,1631106.4152,1950.72,1485.9,Plot18
3,18,phr1/phl1,high,2882336.1708,2476.5,2529.84,Plot18
