Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth
Plate1,C12,c,12,R19,medium-1,Col-0,Plot2,Root,P14Plate1,Plate1_C12,medium,Pot19,61669,11.0295366525144
Plate1,C2,c,2,R29,medium-5,phr1/phl1,Plot14,Root,P23Plate1,Plate1_C2,medium,Pot29,59857,10.9997136632113
Plate1,C3,c,3,R1,low-1,Col-0,Plot1,Root,P32Plate1,Plate1_C3,low,Pot1,62549,11.043705528557
Plate1,C4,c,4,R36,medium-6,phf1,Plot17,Root,P30Plate1,Plate1_C4,medium,Pot36,67136,11.114475691756
Plate1,C9,c,9,R2,low-2,Col-0,Plot4,Root,P39Plate1,Plate1_C9,low,Pot2,63808,11.0636338533215
Plate1,D1,d,1,S19,medium-1,Col-0,Plot2,Soil,P61Plate1,Plate1_D1,medium,Pot19,61825,11.0320630923896
Plate1,D11,d,11,R26,medium-2,phr1/phl1,Plot5,Root,P82Plate1,Plate1_D11,medium,Pot26,48231,10.7837572468311
Plate1,D12,d,12,L53,high-5,phf1,Plot15,Shoot,P73Plate1,Plate1_D12,high,Pot53,56034,10.9337139283378
Plate1,D2,d,2,R6,low-6,Col-0,Plot16,Root,P25Plate1,Plate1_D2,low,Pot6,62026,11.0353089309613
Plate1,D3,d,3,R54,high-6,phf1,Plot18,Root,P85Plate1,Plate1_D3,high,Pot54,67137,11.1144905867833
Plate1,D5,d,5,R47,high-5,phr1/phl1,Plot15,Root,P66Plate1,Plate1_D5,high,Pot47,48374,10.7867177582838
Plate1,D6,d,6,R33,medium-3,phf1,Plot8,Root,P78Plate1,Plate1_D6,medium,Pot33,64879,11.0802792756002
Plate1,D8,d,8,L32,medium-2,phf1,Plot5,Shoot,P58Plate1,Plate1_D8,medium,Pot32,55660,10.9270170350799
Plate1,E1,e,1,S48,high-6,phr1/phl1,Plot18,Soil,P3Plate1,Plate1_E1,high,Pot48,49332,10.8063282366859
Plate1,E10,e,10,R25,medium-1,phr1/phl1,Plot2,Root,P34Plate1,Plate1_E10,medium,Pot25,63277,11.0552771929739
Plate1,E12,e,12,L50,high-2,phf1,Plot6,Shoot,P28Plate1,Plate1_E12,high,Pot50,44160,10.695574680951
Plate1,E2,e,2,L39,high-3,Col-0,Plot9,Shoot,P69Plate1,Plate1_E2,high,Pot39,50009,10.8199582682122
Plate1,E3,e,3,R28,medium-4,phr1/phl1,Plot11,Root,P59Plate1,Plate1_E3,medium,Pot28,39302,10.5790306871477
Plate1,E4,e,4,R26,medium-2,phr1/phl1,Plot5,Root,P56Plate1,Plate1_E4,medium,Pot26,40352,10.6053962387646
Plate1,E5,e,5,L51,high-3,phf1,Plot9,Shoot,P93Plate1,Plate1_E5,high,Pot51,41531,10.634195415314
Plate1,E6,e,6,R62,low+Pi-2,phr1/phl1,Plot4,Root,P63Plate1,Plate1_E6,low+Pi,Pot62,41978,10.6449009505056
Plate1,E8,e,8,L44,high-2,phr1/phl1,Plot6,Shoot,P54Plate1,Plate1_E8,high,Pot44,19159,9.86052785809599
Plate1,F10,f,10,L49,high-1,phf1,Plot3,Shoot,P19Plate1,Plate1_F10,high,Pot49,55169,10.9181564803092
Plate1,F11,f,11,L12,low-6,phr1/phl1,Plot16,Shoot,P48Plate1,Plate1_F11,low,Pot12,51902,10.857112604057
Plate1,F3,f,3,R56,low+Pi-2,Col-0,Plot4,Root,P64Plate1,Plate1_F3,low+Pi,Pot56,64914,11.0808185959156
Plate1,F8,f,8,L54,high-6,phf1,Plot18,Shoot,P50Plate1,Plate1_F8,high,Pot54,53765,10.8923779768246
Plate1,F9,f,9,L30,medium-6,phr1/phl1,Plot17,Shoot,P0Plate1,Plate1_F9,medium,Pot30,65447,11.0889959337711
Plate1,G1,g,1,R18,low-6,phf1,Plot16,Root,P81Plate1,Plate1_G1,low,Pot18,67344,11.1175690910104
Plate1,G10,g,10,L66,low+Pi-6,phr1/phl1,Plot16,Shoot,P62Plate1,Plate1_G10,low+Pi,Pot66,74787,11.2223993520667
Plate1,G11,g,11,R34,medium-4,phf1,Plot11,Root,P72Plate1,Plate1_G11,medium,Pot34,55016,10.9153793309997
Plate1,G12,g,12,R17,low-5,phf1,Plot13,Root,P45Plate1,Plate1_G12,low,Pot17,67035,11.1129701500357
Plate1,G2,g,2,L5,low-5,Col-0,Plot13,Shoot,P33Plate1,Plate1_G2,low,Pot5,28599,10.2611270311617
Plate1,G3,g,3,R9,low-3,phr1/phl1,Plot7,Root,P1Plate1,Plate1_G3,low,Pot9,57714,10.9632550573807
Plate1,G4,g,4,L40,high-4,Col-0,Plot12,Shoot,P11Plate1,Plate1_G4,high,Pot40,67614,11.1215703411804
Plate1,G5,g,5,R10,low-4,phr1/phl1,Plot10,Root,P53Plate1,Plate1_G5,low,Pot10,66427,11.1038588793204
Plate1,G9,g,9,S27,medium-3,phr1/phl1,Plot8,Soil,P20Plate1,Plate1_G9,medium,Pot27,60996,11.0185635672349
Plate1,H1,h,1,R8,low-2,phr1/phl1,Plot4,Root,P35Plate1,Plate1_H1,low,Pot8,66063,11.0983641111743
Plate1,H2,h,2,L21,medium-3,Col-0,Plot8,Shoot,P77Plate1,Plate1_H2,medium,Pot21,64196,11.069696182441
Plate1,H3,h,3,R71,low+Pi-5,phf1,Plot13,Root,P26Plate1,Plate1_H3,low+Pi,Pot71,76561,11.2458430876925
Plate1,H4,h,4,L46,high-4,phr1/phl1,Plot12,Shoot,P88Plate1,Plate1_H4,high,Pot46,65854,11.095195449442
Plate1,H5,h,5,S41,high-5,Col-0,Plot15,Soil,P10Plate1,Plate1_H5,high,Pot41,58547,10.9775851294552
Plate1,H7,h,7,R20,medium-2,Col-0,Plot5,Root,P37Plate1,Plate1_H7,medium,Pot20,62514,11.0431458106402
Plate1,H8,h,8,L37,high-1,Col-0,Plot3,Shoot,P2Plate1,Plate1_H8,high,Pot37,66729,11.1083949200218
Plate1,H9,h,9,L65,low+Pi-5,phr1/phl1,Plot13,Shoot,P13Plate1,Plate1_H9,low+Pi,Pot65,67031,11.1129104779338
Plate2,A1,a,1,R31,medium-1,phf1,Plot2,Root,P4Plate2,Plate2_A1,medium,Pot31,53714,10.8914289541536
Plate2,A10,a,10,R69,low+Pi-3,phf1,Plot7,Root,P83Plate2,Plate2_A10,low+Pi,Pot69,58475,10.9763545914524
Plate2,A2,a,2,L45,high-3,phr1/phl1,Plot9,Shoot,P16Plate2,Plate2_A2,high,Pot45,46972,10.757306958485
Plate2,A3,a,3,L36,medium-6,phf1,Plot17,Shoot,P87Plate2,Plate2_A3,medium,Pot36,52011,10.859210513654
Plate2,A4,a,4,R13,low-1,phf1,Plot1,Root,P60Plate2,Plate2_A4,low,Pot13,36455,10.5038339022405
Plate2,A5,a,5,L64,low+Pi-4,phr1/phl1,Plot10,Shoot,P42Plate2,Plate2_A5,low+Pi,Pot64,38391,10.5555783361057
Plate2,A6,a,6,L58,low+Pi-4,Col-0,Plot10,Shoot,P9Plate2,Plate2_A6,low+Pi,Pot58,41668,10.6374887271043
Plate2,A9,a,9,L27,medium-3,phr1/phl1,Plot8,Shoot,P65Plate2,Plate2_A9,medium,Pot27,46974,10.757349536136
Plate2,B1,b,1,R23,medium-5,Col-0,Plot14,Root,P75Plate2,Plate2_B1,medium,Pot23,94729,11.4587754624959
Plate2,B10,b,10,L71,low+Pi-5,phf1,Plot13,Shoot,P49Plate2,Plate2_B10,low+Pi,Pot71,29821,10.302968122297
Plate2,B3,b,3,L20,medium-2,Col-0,Plot5,Shoot,P8Plate2,Plate2_B3,medium,Pot20,37135,10.5223152001034
Plate2,B4,b,4,L35,medium-5,phf1,Plot14,Shoot,P17Plate2,Plate2_B4,medium,Pot35,38207,10.5507740238805
