ID_Matrix,RA,Number,position,sample,sample.1,plate,Pi,SynCom,Genotype,Fraction,Well,Plate,OTU_Header,Depth,LDepth
Plate1PiDOR1G2,0.0260165616116673,P15,P15Plate1,r53,53,18,1000uM,Full,phf1,Root,G2,Plate1,P15Plate1PiDOR1,16182,9.69165479236779
Plate1PiDOR1G3,0.0866327916687629,P23,P23Plate1,r10,10,4,0uM,Full,Col-0,Root,G3,Plate1,P23Plate1PiDOR1,19877,9.8973185633906
Plate1PiDOR1G8,0.00718116534860467,P63,P63Plate1,r37,37,13,1000uM,Full,Col-0,Root,G8,Plate1,P63Plate1PiDOR1,11001,9.30574145673943
Plate1PiDOR1G9,0.0186019189347954,P71,P71Plate1,r22,22,8,50uM,Full,Col-0,Root,G9,Plate1,P71Plate1PiDOR1,15321,9.63697971531575
Plate1PiDOR1H3,0.00649967501624919,P24,P24Plate1,r44,44,15,1000uM,Full,phf1,Root,H3,Plate1,P24Plate1PiDOR1,80004,11.2898319124061
Plate1PiDOR1H4,0.00942566595247993,P32,P32Plate1,r45,45,15,1000uM,Full,phr1/phl1,Root,H4,Plate1,P32Plate1PiDOR1,125084,11.7367407905935
Plate2PiDOR1A7,0.0530442625494608,P49,P49Plate2,r7,7,3,0uM,Full,Col-0,Root,A7,Plate2,P49Plate2PiDOR1,206224,12.2367182356446
Plate2PiDOR1A9,0.12621359223301,P65,P65Plate2,r30,30,10,50uM,Full,phr1/phl1,Root,A9,Plate2,P65Plate2PiDOR1,1133,7.03262426102801
Plate2PiDOR1C8,0.0275881394961601,P59,P59Plate2,r28,28,10,50uM,Full,Col-0,Root,C8,Plate2,P59Plate2PiDOR1,246229,12.41401727621
Plate2PiDOR1D7,0.0171669952723187,P52,P52Plate2,r43,43,15,1000uM,Full,Col-0,Root,D7,Plate2,P52Plate2PiDOR1,188676,12.1477865372583
Plate2PiDOR1D8,0.0575623576255288,P60,P60Plate2,r3,3,1,0uM,Full,phr1/phl1,Root,D8,Plate2,P60Plate2PiDOR1,52239,10.8635846213475
Plate2PiDOR1E8,0.0223446268966951,P61,P61Plate2,r32,32,11,50uM,Full,phf1,Root,E8,Plate2,P61Plate2PiDOR1,38488,10.5581017833793
Plate2PiDOR1F8,0.00934330898517836,P62,P62Plate2,r49,49,17,1000uM,Full,Col-0,Root,F8,Plate2,P62Plate2PiDOR1,56404,10.9402953569571
Plate2PiDOR1G8,0.0274613841414618,P63,P63Plate2,r34,34,12,50uM,Full,Col-0,Root,G8,Plate2,P63Plate2PiDOR1,182438,12.1141656682573
Plate2PiDOR1H7,0.0262488833917405,P56,P56Plate2,r18,18,6,0uM,Full,phr1/phl1,Root,H7,Plate2,P56Plate2PiDOR1,43659,10.6841647255814
Plate2PiDOR1H8,0.0182864262679566,P64,P64Plate2,r26,26,9,50uM,Full,phf1,Root,H8,Plate2,P64Plate2PiDOR1,27288,10.2142023240985
