Agar,Root,Shoot
0.300367538606937,0.281306783533636,0.263342354453149
0.304933465519855,0.263847275821806,0.278336310620676
0.237145829824342,0.188734196463202,0.191879685036959
0.290806383107868,0.246681179037673,0.243432643760846
0.302784716798229,0.235828770861735,0.23491427725122
0.235159225221772,0.148723805518818,0.163704554001422
0.247068887075491,0.273556826057912,0.215098031637106
0.223171618684439,0.249187024703365,0.179231194220478
0.238749395012155,0.188562031911178,0.179168856666013
0.260256200975854,0.261345890717091,0.216045138354681
0.229317208530242,0.234581928621138,0.180059017072899
0.246479995023814,0.189281298386344,0.185504364458735
0.225593358639059,0.228179208958492,0.190464519261418
0.252592453143911,0.196387043344668,0.195735774571455
0.227111218452973,0.212279877058295,0.173530808040257
