Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,CAP1,CAP2,CAP3,CAP4,CAP5,CAP6
Shoot,SC,P87Plate2Phosphate,Pi,Rep2,0 micromolar Pi,a3,Plate2PhosphateA3,Shoot,Shoot_SC_0P,5923,8.68659835627697,0,0.826709611006615,0.659572222767168,0.926304869746038,-0.10938862374204,-0.152243959482809,1.33245743182862
Shoot,SC,P61Plate2Phosphate,Pi,Rep2,0 micromolar Pi,d1,Plate2PhosphateD1,Shoot,Shoot_SC_0P,7031,8.85808422219916,0,0.733743061728706,1.13476151470778,0.723478362046699,0.25612403130273,0.382552495860483,0.32621165141124
Shoot,SC,P4Plate3Phosphate,Pi,Rep1,0 micromolar Pi,a1,Plate3PhosphateA1,Shoot,Shoot_SC_0P,7024,8.85708813531495,0,0.980785601254565,0.947193256857897,1.17521800724073,-0.39344219127101,0.6960736356967,0.3945865842395
Agar,NP,P28Plate1Phosphate,Pi,Rep2,10 micromolar Pi,e12,Plate1PhosphateE12,AgarNoPlant,Agar_NP_10P,17665,9.77934055979325,10,-0.388726244324031,0.0012963103798091,0.718939419739826,1.37016108178827,1.08413197557188,-0.744736423708772
Agar,NP,P68Plate1Phosphate,Pi,Rep2,10 micromolar Pi,e9,Plate1PhosphateE9,AgarNoPlant,Agar_NP_10P,19783,9.89257826202809,10,-0.661640971540288,0.0530846050144535,0.169211156687535,1.71701764047991,1.29604086502752,0.663671492453324
Agar,NP,P83Plate2Phosphate,Pi,Rep1,10 micromolar Pi,a10,Plate2PhosphateA10,AgarNoPlant,Agar_NP_10P,3904,8.26975694753298,10,-0.69150267980197,-0.431692921837298,0.688899628629216,1.11606117512555,-0.764416315375806,0.881360721296109
Agar,NP,P5Plate2Phosphate,Pi,Rep2,10 micromolar Pi,b6,Plate2PhosphateB6,AgarNoPlant,Agar_NP_10P,5882,8.67965211911394,10,-0.611172913862569,-0.197103173495802,0.541660318866067,0.806929147983181,-0.23646955466123,-0.931787658296003
Agar,NP,P25Plate2Phosphate,Pi,Rep1,10 micromolar Pi,d2,Plate2PhosphateD2,AgarNoPlant,Agar_NP_10P,4951,8.50734485536142,10,-0.729436538829053,-0.410580521601927,0.645830362087473,1.77230955583181,-1.04598464840621,0.540308672936768
Agar,NP,P77Plate2Phosphate,Pi,Rep1,10 micromolar Pi,h2,Plate2PhosphateH2,AgarNoPlant,Agar_NP_10P,4728,8.46125755908593,10,-0.808467817561696,-0.125258896099369,0.47647954944002,1.33518177889251,-0.00887726209534145,-0.666268797098185
Agar,NP,P30Plate3Phosphate,Pi,Rep2,10 micromolar Pi,c4,Plate3PhosphateC4,AgarNoPlant,Agar_NP_10P,8303,9.02437217426203,10,-0.157875029751913,-0.379811952445407,0.652976552793104,2.45132287797115,3.23704822338586,-0.801577782850358
Agar,SC,P60Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a4,Plate1PhosphateA4,AgarPlant,Agar_SC_10P,21044,9.9543707628507,10,-0.541689849754336,-0.253064198246094,0.775288960104838,0.323727218621021,0.218422186776213,-0.698206282544088
Agar,SC,P76Plate2Phosphate,Pi,Rep1,10 micromolar Pi,b11,Plate2PhosphateB11,AgarPlant,Agar_SC_10P,8293,9.0231670644512,10,-0.774255633510191,-0.294795030623521,0.529095438285681,1.48540877080626,-1.40016053927847,0.343826881456399
Agar,SC,P87Plate3Phosphate,Pi,Rep2,10 micromolar Pi,a3,Plate3PhosphateA3,AgarPlant,Agar_SC_10P,4350,8.37793112408273,10,-0.689874069466596,0.0977723819574605,0.414273377765356,-1.12753761205416,-1.28863372067503,0.403792726048207
Agar,SC,P32Plate3Phosphate,Pi,Rep2,10 micromolar Pi,c3,Plate3PhosphateC3,AgarPlant,Agar_SC_10P,4501,8.41205487329293,10,-0.245865326128658,0.307348262024162,0.342749363288061,-1.03468281489436,-1.36948705298855,-0.529593444423444
Agar,SC,P64Plate3Phosphate,Pi,Rep1,10 micromolar Pi,f3,Plate3PhosphateF3,AgarPlant,Agar_SC_10P,5427,8.5991417740634,10,-0.663667592164001,-0.202593289191738,0.674223336626735,-0.0555379745459237,-1.07387430580044,0.175428745011769
Agar,SC,P26Plate3Phosphate,Pi,Rep2,10 micromolar Pi,h3,Plate3PhosphateH3,AgarPlant,Agar_SC_10P,5392,8.59267165259214,10,-0.381864444033182,0.00916211218231421,0.205410415976797,-1.32919950919929,-1.14609551606328,-0.238369110764929
Root,SC,P4Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a1,Plate1PhosphateA1,Root,Root_SC_10P,22372,10.0155654559415,10,0.595782272152012,-1.08244019213748,0.280077929988595,-0.405663251615656,-0.872080763266959,-0.329286024770095
Root,SC,P42Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a5,Plate1PhosphateA5,Root,Root_SC_10P,22176,10.0067659019896,10,0.466025700190715,-1.1391385977593,0.434112862612191,0.366071423312803,-0.825801715749775,-0.551149027722395
Root,SC,P25Plate1Phosphate,Pi,Rep1,10 micromolar Pi,d2,Plate1PhosphateD2,Root,Root_SC_10P,28255,10.2490257120639,10,0.587071124382916,-0.833948886567787,0.469899517055396,-0.336304249284946,-1.55580554073054,-0.0526219534471389
Root,SC,P33Plate1Phosphate,Pi,Rep2,10 micromolar Pi,g2,Plate1PhosphateG2,Root,Root_SC_10P,9639,9.17357264778397,10,0.0906616505393744,-1.71544305957977,0.65924417884797,1.90976203950661,-1.02513943515887,0.229978600536463
Root,SC,P58Plate2Phosphate,Pi,Rep2,10 micromolar Pi,d8,Plate2PhosphateD8,Root,Root_SC_10P,11808,9.37653254684025,10,0.0850466766630531,-1.68435241095744,0.602029796523492,1.7506396378219,-0.759986954616847,0.0318851198392697
Root,SC,P19Plate2Phosphate,Pi,Rep2,10 micromolar Pi,f10,Plate2PhosphateF10,Root,Root_SC_10P,7143,8.87388813515497,10,0.142372302199753,-1.73424009552974,0.707994812389925,1.83807368043632,-0.786307060629288,0.0379799185680906
Shoot,SC,P12Plate1Phosphate,Pi,Rep2,10 micromolar Pi,d4,Plate1PhosphateD4,Shoot,Shoot_SC_10P,8873,9.09076823683534,10,0.872269009377112,0.165220154307744,0.760438425302884,0.327209330063082,-1.6564826983965,0.495750520814527
Shoot,SC,P6Plate1Phosphate,Pi,Rep2,10 micromolar Pi,f1,Plate1PhosphateF1,Shoot,Shoot_SC_10P,19822,9.89454771096665,10,0.56416011040682,0.863369752187636,0.832114139748207,0.859249315675819,-0.618535398898385,-0.491408012104973
Shoot,SC,P19Plate1Phosphate,Pi,Rep1,10 micromolar Pi,f10,Plate1PhosphateF10,Shoot,Shoot_SC_10P,23564,10.0674754026416,10,1.05523455943394,0.832726515768017,0.654194973422763,0.192766441996289,-0.124942231778084,0.596058803952122
Shoot,SC,P32Plate2Phosphate,Pi,Rep1,10 micromolar Pi,c3,Plate2PhosphateC3,Shoot,Shoot_SC_10P,6818,8.82732145269785,10,1.12486006835243,0.62103346468786,0.6969752809882,-0.0787824916891373,0.307350039189954,0.280739795624827
Shoot,SC,P22Plate2Phosphate,Pi,Rep2,10 micromolar Pi,d7,Plate2PhosphateD7,Shoot,Shoot_SC_10P,7013,8.85552084853691,10,0.772459034157819,0.806849605432199,0.771034794362675,0.736167107752925,-0.357350801616533,-0.0757694423603966
Shoot,SC,P88Plate2Phosphate,Pi,Rep1,10 micromolar Pi,h4,Plate2PhosphateH4,Shoot,Shoot_SC_10P,5965,8.69366433453202,10,1.05066817862039,0.668999082111896,0.800769509963347,0.585817410584028,-0.432400777659575,-0.0679919875707697
Agar,NP,P65Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a9,Plate1PhosphateA9,AgarNoPlant,Agar_NP_30P,15740,9.66396052197139,30,-0.367314216946506,-0.34891943820434,0.589757298355919,2.91862028228033,3.55354067072051,-0.810850169577428
Agar,NP,P94Plate1Phosphate,Pi,Rep1,30 micromolar Pi,f2,Plate1PhosphateF2,AgarNoPlant,Agar_NP_30P,22908,10.0392414735137,30,-0.767515603982229,-0.0905421912542838,-0.20523775092715,0.659397627927048,-1.40162545299653,0.28521053407952
Agar,NP,P80Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f4,Plate1PhosphateF4,AgarNoPlant,Agar_NP_30P,21413,9.97175349320622,30,-0.835146498023076,0.00857535985966115,-0.459115715395849,-0.674584242082292,-0.879405378335389,1.68144525976995
Agar,NP,P1Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g3,Plate1PhosphateG3,AgarNoPlant,Agar_NP_30P,16323,9.70033043515403,30,-0.731813953657495,-0.219227704407356,-0.0674197530549121,1.35100126544792,-1.62053434475747,0.293043295705031
Agar,NP,P93Plate2Phosphate,Pi,Rep1,30 micromolar Pi,e5,Plate2PhosphateE5,AgarNoPlant,Agar_NP_30P,3696,8.21500643276157,30,-0.827336942639891,-0.163474692588568,0.150517558244963,1.29008013863121,-1.6498601373747,0.287154435810437
Agar,NP,P56Plate3Phosphate,Pi,Rep2,30 micromolar Pi,e4,Plate3PhosphateE4,AgarNoPlant,Agar_NP_30P,7776,8.95879734614027,30,-0.522331635640566,0.714568056914763,-0.380059915338431,-0.808854071931389,-1.19535550081917,0.920657388552302
Agar,NP,P1Plate3Phosphate,Pi,Rep2,30 micromolar Pi,g3,Plate3PhosphateG3,AgarNoPlant,Agar_NP_30P,3856,8.25738565573044,30,-0.737447600952295,0.218884631572184,-0.658624508815331,-1.08019283891682,-0.958210774808158,0.886364063443191
Agar,SC,P16Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a2,Plate1PhosphateA2,AgarPlant,Agar_SC_30P,15743,9.66415110101463,30,-0.495756130503298,-0.0488334071806963,-0.34472169995404,-1.37431862120987,-1.24959050280357,0.549592268791534
Agar,SC,P3Plate1Phosphate,Pi,Rep2,30 micromolar Pi,e1,Plate1PhosphateE1,AgarPlant,Agar_SC_30P,11577,9.35677565020573,30,-0.638062766160826,0.427244232570911,-0.661382506358906,-0.344280728760445,0.17406141588645,-0.808480719053622
Agar,SC,P15Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f12,Plate1PhosphateF12,AgarPlant,Agar_SC_30P,19108,9.85786237450985,30,-0.434580967081805,0.597728217625689,-0.593367801672212,-0.763033751563329,-0.0596616718749727,-1.05944968080519
Agar,SC,P11Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g4,Plate1PhosphateG4,AgarPlant,Agar_SC_30P,18902,9.847023015555,30,-0.834687474249636,-0.180168521256042,-0.00868728812612512,1.53820776670693,-1.33767151270855,0.36617503309566
Agar,SC,P46Plate2Phosphate,Pi,Rep1,30 micromolar Pi,f7,Plate2PhosphateF7,AgarPlant,Agar_SC_30P,5608,8.63194942871443,30,-0.835299374054919,-0.0564082274611772,-0.320022318010325,1.21560662748303,-1.69785394811501,0.828889482917601
Agar,SC,P85Plate3Phosphate,Pi,Rep1,30 micromolar Pi,d3,Plate3PhosphateD3,AgarPlant,Agar_SC_30P,4296,8.3654396361887,30,-0.696713745519459,0.119633657831349,-0.155587439193216,-0.402333629691829,-1.78705870206262,-0.214753750511447
Root,SC,P74Plate1Phosphate,Pi,Rep2,30 micromolar Pi,c10,Plate1PhosphateC10,Root,Root_SC_30P,22794,10.0342526224157,30,0.389514593468735,-1.54874916946241,-0.464056694608397,0.435462499468117,0.244495181716949,-0.683523461245304
Root,SC,P30Plate1Phosphate,Pi,Rep1,30 micromolar Pi,c4,Plate1PhosphateC4,Root,Root_SC_30P,21250,9.96411217435256,30,-0.417906321417822,0.00666979605615756,1.12283800129268,-1.87462571280635,0.664263732546773,-0.683942691605512
Root,SC,P24Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f6,Plate1PhosphateF6,Root,Root_SC_30P,24770,10.1173885224834,30,0.415318776760268,-1.13495448397267,-0.287590889789748,1.64692938002168,1.12592303900144,-0.632572704586517
Root,SC,P81Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g1,Plate1PhosphateG1,Root,Root_SC_30P,18185,9.80835235742109,30,0.45092401222988,-0.737486338166353,-0.0531623581999707,-0.0796514301849436,-1.18385634942506,-0.106121914051777
Root,SC,P18Plate2Phosphate,Pi,Rep1,30 micromolar Pi,d10,Plate2PhosphateD10,Root,Root_SC_30P,7339,8.90095787254506,30,0.490695629760111,-1.19663192898115,-0.0970181008351732,-0.0574197528570744,-1.68756513917536,0.500013844966999
Root,SC,P94Plate2Phosphate,Pi,Rep2,30 micromolar Pi,f2,Plate2PhosphateF2,Root,Root_SC_30P,5527,8.61740045183326,30,0.382505590171446,-1.54251351370956,-0.271678708709947,1.10405743185057,0.188496196594416,-0.841758572016492
Shoot,SC,P9Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a6,Plate1PhosphateA6,Shoot,Shoot_SC_30P,22910,10.0393287754475,30,0.830036052323412,0.597370034116094,-0.201908595211994,0.362309811751573,-0.133212737555869,-0.144414442641991
Shoot,SC,P57Plate1Phosphate,Pi,Rep1,30 micromolar Pi,c8,Plate1PhosphateC8,Shoot,Shoot_SC_30P,19908,9.89887693997844,30,0.804199554248423,0.949373890858897,-0.0660165486355205,0.637063062738305,-0.731302002746348,-0.845566358351707
Shoot,SC,P18Plate1Phosphate,Pi,Rep2,30 micromolar Pi,d10,Plate1PhosphateD10,Shoot,Shoot_SC_30P,20414,9.92397621896344,30,0.791249319286241,0.398364745826777,0.125891259068043,-0.141760143328171,-1.00336668184521,0.912248593002529
Shoot,SC,P75Plate2Phosphate,Pi,Rep1,30 micromolar Pi,b1,Plate2PhosphateB1,Shoot,Shoot_SC_30P,6050,8.70781355102489,30,0.968032275750762,1.19195340573572,0.150629107041005,0.743119548094699,-0.702286795514509,-0.520459737061798
Shoot,SC,P49Plate2Phosphate,Pi,Rep2,30 micromolar Pi,b10,Plate2PhosphateB10,Shoot,Shoot_SC_30P,6856,8.83287946027762,30,0.685703569358024,0.379593733346158,-0.0463317543101762,0.0520205521316423,-0.266189902489532,0.51203431221014
Shoot,SC,P78Plate2Phosphate,Pi,Rep1,30 micromolar Pi,d6,Plate2PhosphateD6,Shoot,Shoot_SC_30P,5918,8.68575383296015,30,0.868115021094757,0.447913035211194,0.162606182298943,-0.0262053662834457,-1.10359749662734,0.508924035437452
