Order,Freq,Perc,Type,Facet,Mode
Glomerellales,1,0.00970873786407767,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Helotiales,8,0.0776699029126214,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Hypocreales,10,0.0970873786407767,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Pezizales,0,0,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Pleosporales,5,0.0485436893203883,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Sordariales,7,0.0679611650485437,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Thelebolales,2,0.0194174757281553,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Xylariales,2,0.0194174757281553,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Agaricales,0,0,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Cantharellales,2,0.0194174757281553,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Cystofilobasidiales,2,0.0194174757281553,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Filobasidiales,3,0.029126213592233,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Platygloeales,1,0.00970873786407767,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Mortierellales,9,0.087378640776699,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Fungi_unclassified,5,0.0485436893203883,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Other,36,0.349514563106796,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Ascomycota_unclassified,1,0.0526315789473684,Enriched_RootvsShoot,RootvsShoot,Enriched
Branch06,1,0.0526315789473684,Enriched_RootvsShoot,RootvsShoot,Enriched
Capnodiales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Chaetothyriales,1,0.0526315789473684,Enriched_RootvsShoot,RootvsShoot,Enriched
Glomerellales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Helotiales,2,0.105263157894737,Enriched_RootvsShoot,RootvsShoot,Enriched
Hypocreales,1,0.0526315789473684,Enriched_RootvsShoot,RootvsShoot,Enriched
Pezizales,1,0.0526315789473684,Enriched_RootvsShoot,RootvsShoot,Enriched
Pleosporales,7,0.368421052631579,Enriched_RootvsShoot,RootvsShoot,Enriched
Sordariales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Thelebolales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Xylariales,1,0.0526315789473684,Enriched_RootvsShoot,RootvsShoot,Enriched
Agaricales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Cantharellales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Cystofilobasidiales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Filobasidiales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Platygloeales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Mortierellales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Fungi_unclassified,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Other,4,0.210526315789474,Enriched_RootvsShoot,RootvsShoot,Enriched
Ascomycota_unclassified,3,0.0422535211267606,Depleted_RootvsShoot,RootvsShoot,Depleted
Branch06,0,0,Depleted_RootvsShoot,RootvsShoot,Depleted
Capnodiales,3,0.0422535211267606,Depleted_RootvsShoot,RootvsShoot,Depleted
Chaetothyriales,1,0.0140845070422535,Depleted_RootvsShoot,RootvsShoot,Depleted
Glomerellales,7,0.0985915492957746,Depleted_RootvsShoot,RootvsShoot,Depleted
Helotiales,7,0.0985915492957746,Depleted_RootvsShoot,RootvsShoot,Depleted
Hypocreales,14,0.197183098591549,Depleted_RootvsShoot,RootvsShoot,Depleted
Pezizales,1,0.0140845070422535,Depleted_RootvsShoot,RootvsShoot,Depleted
Pleosporales,6,0.0845070422535211,Depleted_RootvsShoot,RootvsShoot,Depleted
Sordariales,2,0.028169014084507,Depleted_RootvsShoot,RootvsShoot,Depleted
Thelebolales,3,0.0422535211267606,Depleted_RootvsShoot,RootvsShoot,Depleted
Xylariales,4,0.0563380281690141,Depleted_RootvsShoot,RootvsShoot,Depleted
Agaricales,2,0.028169014084507,Depleted_RootvsShoot,RootvsShoot,Depleted
Cantharellales,0,0,Depleted_RootvsShoot,RootvsShoot,Depleted
Cystofilobasidiales,2,0.028169014084507,Depleted_RootvsShoot,RootvsShoot,Depleted
Filobasidiales,0,0,Depleted_RootvsShoot,RootvsShoot,Depleted
Platygloeales,1,0.0140845070422535,Depleted_RootvsShoot,RootvsShoot,Depleted
Mortierellales,4,0.0563380281690141,Depleted_RootvsShoot,RootvsShoot,Depleted
Fungi_unclassified,4,0.0563380281690141,Depleted_RootvsShoot,RootvsShoot,Depleted
Other,7,0.0985915492957746,Depleted_RootvsShoot,RootvsShoot,Depleted
