DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,Shannon,Richness
Plate3B3,Plate3,B3,B,3,S16,low-4,phf1,Plot10,Soil,low,Pot16,3797,8.2419665602318,2.24744078076517,31
Plate2B8,Plate2,B8,B,8,S17,low-5,phf1,Plot13,Soil,low,Pot17,273367,12.5185704937191,3.91410685463032,261
Plate1B11,Plate1,B11,B,11,S18,low-6,phf1,Plot16,Soil,low,Pot18,41762,10.63974211413,3.63785814096927,172
Plate1D1,Plate1,D1,D,1,S19,medium-1,Col-0,Plot2,Soil,medium,Pot19,26743,10.1940280358364,3.60108976495718,158
Plate1A11,Plate1,A11,A,11,S20,medium-2,Col-0,Plot5,Soil,medium,Pot20,39147,10.5750790701304,3.66189206304218,169
Plate1C5,Plate1,C5,C,5,S21,medium-3,Col-0,Plot8,Soil,medium,Pot21,68885,11.1401937264787,3.45617495255601,190
Plate3D4,Plate3,D4,D,4,S22,medium-4,Col-0,Plot11,Soil,medium,Pot22,136726,11.8257342021396,3.78569630314352,207
Plate2D7,Plate2,D7,D,7,S23,medium-5,Col-0,Plot14,Soil,medium,Pot23,226369,12.3299216901409,4.15133486684745,246
Plate2B6,Plate2,B6,B,6,S24,medium-6,Col-0,Plot17,Soil,medium,Pot24,294299,12.5923515363225,3.7736813754536,263
Plate2E6,Plate2,E6,E,6,S25,medium-1,phr1/phl1,Plot2,Soil,medium,Pot25,149816,11.9171631534403,3.91015417589986,229
Plate3C3,Plate3,C3,C,3,S26,medium-2,phr1/phl1,Plot5,Soil,medium,Pot26,161247,11.9906926298338,3.41867127237179,185
Plate1G9,Plate1,G9,G,9,S27,medium-3,phr1/phl1,Plot8,Soil,medium,Pot27,65708,11.0929759626611,3.97853967109343,197
Plate2C3,Plate2,C3,C,3,S28,medium-4,phr1/phl1,Plot11,Soil,medium,Pot28,246168,12.4137695086554,4.03266071632604,241
Plate1A10,Plate1,A10,A,10,S29,medium-5,phr1/phl1,Plot14,Soil,medium,Pot29,33777,10.4275353764712,3.71611002379392,163
Plate1D10,Plate1,D10,D,10,S30,medium-6,phr1/phl1,Plot17,Soil,medium,Pot30,43840,10.6883019216219,3.82076398873545,193
Plate1F4,Plate1,F4,F,4,S31,medium-1,phf1,Plot2,Soil,medium,Pot31,31849,10.3687612633332,3.5883457778567,161
Plate2E5,Plate2,E5,E,5,S33,medium-3,phf1,Plot8,Soil,medium,Pot33,150132,11.9192701861054,3.78844924895522,236
Plate2F3,Plate2,F3,F,3,S36,medium-6,phf1,Plot17,Soil,medium,Pot36,149465,11.9148175306916,3.69788454638712,211
Plate1F6,Plate1,F6,F,6,S37,high-1,Col-0,Plot3,Soil,high,Pot37,39270,10.5782161475721,3.43154841636553,169
Plate1F7,Plate1,F7,F,7,S39,high-3,Col-0,Plot9,Soil,high,Pot39,71168,11.1727985581702,3.58235552412261,182
Plate3E5,Plate3,E5,E,5,S40,high-4,Col-0,Plot12,Soil,high,Pot40,87545,11.3799082258604,1.21354210365055,33
Plate1H5,Plate1,H5,H,5,S41,high-5,Col-0,Plot15,Soil,high,Pot41,26941,10.2014045688003,3.75638879918058,173
Plate2H2,Plate2,H2,H,2,S42,high-6,Col-0,Plot18,Soil,high,Pot42,151723,11.9298117688739,3.66596902762534,213
Plate1A5,Plate1,A5,A,5,S43,high-1,phr1/phl1,Plot3,Soil,high,Pot43,12039,9.39590665893503,2.8833167875167,109
Plate2H8,Plate2,H8,H,8,S44,high-2,phr1/phl1,Plot6,Soil,high,Pot44,85341,11.3544102745079,3.73975464573055,185
Plate1C7,Plate1,C7,C,7,S45,high-3,phr1/phl1,Plot9,Soil,high,Pot45,77841,11.2624235636427,3.29403742476661,183
Plate3A4,Plate3,A4,A,4,S46,high-4,phr1/phl1,Plot12,Soil,high,Pot46,173797,12.0656432304447,3.7732540158356,224
Plate1B10,Plate1,B10,B,10,S47,high-5,phr1/phl1,Plot15,Soil,high,Pot47,29642,10.2969475535169,2.89758987110929,136
