DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,CAP4,CAP5,MDS1
Plate1D8,Plate1,D8,D,8,L32,medium-2,phf1,Plot5,Shoot,medium,Pot32,11355,9.33741345453966,-0.367041143086885,-0.776957836351823,2.59517881844668,-0.352885031642608,-0.92156826876147,0.378938855880446
Plate2G1,Plate2,G1,G,1,L33,medium-3,phf1,Plot8,Shoot,medium,Pot33,131396,11.785970943169,-0.686653151472724,-1.23058493830685,0.460982858237316,0.000709976265264504,-1.67473623478852,0.0386302601663729
Plate2C12,Plate2,C12,C,12,L34,medium-4,phf1,Plot11,Shoot,medium,Pot34,259860,12.4678983034367,-0.921472620794961,-0.898774530383312,2.72153427314695,-0.529930084590821,0.358281736811305,-0.277419773776984
Plate2B4,Plate2,B4,B,4,L35,medium-5,phf1,Plot14,Shoot,medium,Pot35,365789,12.8098119434097,-0.803245691096493,-2.34616270289706,-0.0929365887734512,-1.47483922523544,-0.996384214636738,-0.577212875538886
Plate2A3,Plate2,A3,A,3,L36,medium-6,phf1,Plot17,Shoot,medium,Pot36,95180,11.4635251146751,-1.17465538090579,-1.80207934138373,1.64058812686668,1.32968223509034,-0.750207226398363,-0.88642484290981
Plate1H8,Plate1,H8,H,8,L37,high-1,Col-0,Plot3,Shoot,high,Pot37,15442,9.64484634886876,-0.56853024884231,-0.852625324540404,1.9512218820746,-0.799412246480603,1.06085582386648,0.0771815420926175
Plate1A7,Plate1,A7,A,7,L38,high-2,Col-0,Plot6,Shoot,high,Pot38,13951,9.54330646926811,-0.553598426236158,0.148434815607863,0.141166154318252,-0.519472851999581,2.34266584812615,0.141523361689181
Plate1E2,Plate1,E2,E,2,L39,high-3,Col-0,Plot9,Shoot,high,Pot39,20952,9.94998938618755,-0.786347802398868,-0.266502748757284,1.72282523515247,0.376094906877061,1.48095642750739,-0.436275681228265
Plate1G4,Plate1,G4,G,4,L40,high-4,Col-0,Plot12,Shoot,high,Pot40,61612,11.0286119357443,-0.546082876802448,-1.34893828050616,1.91794201163684,-1.35269125970326,0.333059093967799,-0.0411217666196454
Plate2G8,Plate2,G8,G,8,L41,high-5,Col-0,Plot15,Shoot,high,Pot41,24013,10.0863506293483,0.606890295725747,-0.165269782454318,-0.195888965930161,0.737346181932149,0.801693671974865,1.56349085388119
Plate2F6,Plate2,F6,F,6,L43,high-1,phr1/phl1,Plot3,Shoot,high,Pot43,74653,11.2206059897017,-1.02010583932888,-0.459940516221556,0.222316476426093,1.05192948508408,1.31066859103958,-0.688448652419511
Plate1E8,Plate1,E8,E,8,L44,high-2,phr1/phl1,Plot6,Shoot,high,Pot44,44589,10.705242470817,-0.734786300293607,-2.0129378207788,-1.96045789490723,1.82857866069455,-0.96838171629321,-0.655097559352114
Plate2A2,Plate2,A2,A,2,L45,high-3,phr1/phl1,Plot9,Shoot,high,Pot45,236595,12.3741050975897,-1.11529448084807,-2.22978613717851,-2.07557270397673,1.73359899390008,0.145645660402296,-0.984082938121993
Plate1H4,Plate1,H4,H,4,L46,high-4,phr1/phl1,Plot12,Shoot,high,Pot46,88903,11.3953011667144,-0.71385556504716,-2.24153314764356,-1.80868955106513,1.60944878798532,0.508026101148192,-0.436740434753205
Plate2E11,Plate2,E11,E,11,L48,high-6,phr1/phl1,Plot18,Shoot,high,Pot48,75852,11.2365393522603,-0.815825522470389,-2.22792117136916,-1.48885164105629,0.764252853179905,-0.028941405016483,-0.417003925875813
Plate1F10,Plate1,F10,F,10,L49,high-1,phf1,Plot3,Shoot,high,Pot49,19643,9.88547631973428,-1.01062956950072,-1.44494409082076,0.274454594699497,-0.338300448189726,-2.33889302753835,-0.428016669483763
Plate1E12,Plate1,E12,E,12,L50,high-2,phf1,Plot6,Shoot,high,Pot50,12535,9.43628001059239,-0.609513195406874,-1.21104738113702,0.330089870125304,0.504992270177541,-0.986180684151814,0.00873247348982361
Plate1E5,Plate1,E5,E,5,L51,high-3,phf1,Plot9,Shoot,high,Pot51,8053,8.99379997179554,-0.794157467868533,-1.26372621966804,1.19652506820039,-1.94467993995998,-0.408121426199083,-0.0132660274126453
Plate2C9,Plate2,C9,C,9,L52,high-4,phf1,Plot12,Shoot,high,Pot52,175126,12.07326099383,-0.336821380800444,-0.881977598092658,1.71659881711991,0.303837315194842,-1.29832653946621,0.503935516014809
Plate1D12,Plate1,D12,D,12,L53,high-5,phf1,Plot15,Shoot,high,Pot53,43523,10.6810448129775,-1.1756320357799,-1.10593325832188,1.57367735295352,-0.437273165549898,-2.41596071119416,-0.817742668661352
Plate1F8,Plate1,F8,F,8,L54,high-6,phf1,Plot18,Shoot,high,Pot54,52383,10.8663373901902,-0.945437711442102,-0.746621659453925,0.267602529537024,0.216266489721984,-1.84667884199372,-0.0336975548741099
