Phosphate,Regulon,ZPiperG
low,0.21113613620204,-0.58842418056148
medium,0.0265606748343361,-0.129891904968242
high,-0.02750900065302,0.176856919748583
low_Pi,-0.302001378157866,0.541459165781139
