DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate1E7,Plate1,E7,E,7,S2,low-2,Col-0,Plot4,Soil,low,Pot2,44260,10.697836613605,-0.532515719972589,0.243475716334422,-0.971290039805499,-0.441710728654896,-0.0436354731422201,-0.171969337304879
Plate3B4,Plate3,B4,B,4,S3,low-3,Col-0,Plot7,Soil,low,Pot3,295337,12.5958723561919,-2.27177873828239,2.55994612224791,-1.41986256531705,1.32608362072213,-0.210554906737306,1.84728652139947
Plate1A12,Plate1,A12,A,12,S4,low-4,Col-0,Plot10,Soil,low,Pot4,52404,10.8667382032736,0.716571726302007,0.642522555767463,-0.945149735407323,-0.736726142966585,0.0148910925523172,0.103037142284603
Plate1G7,Plate1,G7,G,7,S5,low-5,Col-0,Plot13,Soil,low,Pot5,45105,10.7167483840907,-1.0254581330993,1.01991308409353,-1.47593259157147,-0.127607247643617,-1.37971153880041,0.765945796884129
Plate2B2,Plate2,B2,B,2,S6,low-6,Col-0,Plot16,Soil,low,Pot6,361119,12.7969628228849,0.540298106735104,0.0506231493363786,-0.742238563068182,-0.443673492702595,1.35977293907373,-0.608189474647872
Plate2D12,Plate2,D12,D,12,S7,low-1,phr1/phl1,Plot1,Soil,low,Pot7,277955,12.5352145090667,-0.418795698896533,0.722411648609211,0.632186362885308,-0.226003881407858,0.0985458656992761,-0.372450589336611
Plate2G9,Plate2,G9,G,9,S8,low-2,phr1/phl1,Plot4,Soil,low,Pot8,94057,11.451656260455,-0.247038287311105,0.17064412479198,-0.325065022635687,-0.643078320709441,-0.709186414390407,-0.595888988804724
Plate3C6,Plate3,C6,C,6,S9,low-3,phr1/phl1,Plot7,Soil,low,Pot9,24774,10.1175499951141,1.02066853612392,0.727744055790418,1.8500772242341,-0.855200318958351,1.52945433334491,-1.22522419808856
Plate1G6,Plate1,G6,G,6,S10,low-4,phr1/phl1,Plot10,Soil,low,Pot10,40868,10.6181026397113,-0.160126698971009,1.62790131988333,-0.201631383383627,-0.491295195297447,-0.274218931855131,0.92229102983905
Plate2F2,Plate2,F2,F,2,S11,low-5,phr1/phl1,Plot13,Soil,low,Pot11,168028,12.0318859111647,-0.290853802798285,0.341614200500507,0.326696228329976,-0.236338942231906,0.342665416679649,-0.404806669016101
Plate3B6,Plate3,B6,B,6,S12,low-6,phr1/phl1,Plot16,Soil,low,Pot12,278438,12.5369506923808,-3.81862450177427,2.38468996258887,0.637546898598417,1.87167611347296,-1.42799051347333,2.06915348704624
Plate2C5,Plate2,C5,C,5,S13,low-1,phf1,Plot1,Soil,low,Pot13,253638,12.4436633325913,-0.881942536915484,-0.28228640893367,0.222153916265612,-0.132237754716176,0.36932152176368,0.0251065233582969
Plate2F9,Plate2,F9,F,9,S14,low-2,phf1,Plot4,Soil,low,Pot14,152643,11.935857140577,-0.384879269817741,-0.654564778872048,-0.459695494365021,-0.759469891874542,-0.155473563985865,-0.00309892996070331
Plate3D5,Plate3,D5,D,5,S15,low-3,phf1,Plot7,Soil,low,Pot15,131501,11.7867697351338,-3.150713080931,-1.20591848237375,1.53395317773147,1.10955374860087,0.853057102400001,0.924188611416358
Plate3B3,Plate3,B3,B,3,S16,low-4,phf1,Plot10,Soil,low,Pot16,3797,8.2419665602318,-4.30879219530284,-1.95016739118935,0.53379814154919,1.99446663696748,0.638935026059605,-2.50002090214109
Plate2B8,Plate2,B8,B,8,S17,low-5,phf1,Plot13,Soil,low,Pot17,273367,12.5185704937191,-0.44754678243795,-0.495904212300585,0.187055442526304,-0.289679513804365,0.585238718497854,-0.14484713420891
Plate1B11,Plate1,B11,B,11,S18,low-6,phf1,Plot16,Soil,low,Pot18,41762,10.63974211413,0.401542323442739,-1.56752551020538,-1.08069926917783,-0.918758688795671,-1.59111067368636,-0.630512888718689
Plate1D1,Plate1,D1,D,1,S19,medium-1,Col-0,Plot2,Soil,medium,Pot19,26743,10.1940280358364,0.26185756857241,0.0338158566844815,-0.608374671308936,-0.0245847697332203,0.0456009680116699,-0.225238177691728
Plate1A11,Plate1,A11,A,11,S20,medium-2,Col-0,Plot5,Soil,medium,Pot20,39147,10.5750790701304,0.291109878947524,-0.140984582548201,-1.0469746125095,-0.0653391519647307,0.194629854652421,-0.068763009694582
Plate1C5,Plate1,C5,C,5,S21,medium-3,Col-0,Plot8,Soil,medium,Pot21,68885,11.1401937264787,0.426417821004409,-0.159836711715511,-0.437635328028558,-0.110356899116649,0.595644488522429,-0.425687788670785
Plate3D4,Plate3,D4,D,4,S22,medium-4,Col-0,Plot11,Soil,medium,Pot22,136726,11.8257342021396,0.39194547272558,-0.571021567156105,-1.23958170033038,-0.098104541303818,-0.400962630989424,-0.288854876027294
Plate2D7,Plate2,D7,D,7,S23,medium-5,Col-0,Plot14,Soil,medium,Pot23,226369,12.3299216901409,-0.270439101361431,0.085659570658901,-0.748810287280188,0.116887211114129,0.121087433243903,0.303196619930526
Plate2B6,Plate2,B6,B,6,S24,medium-6,Col-0,Plot17,Soil,medium,Pot24,294299,12.5923515363225,0.191161973204949,0.0297376178722779,-0.597094022404654,-0.0169060988569678,0.333383931011959,-0.205115784712937
Plate2E6,Plate2,E6,E,6,S25,medium-1,phr1/phl1,Plot2,Soil,medium,Pot25,149816,11.9171631534403,-0.220072842500733,0.419483741350449,0.629102088070655,0.110827927098302,-0.16754182179168,0.117143234246006
