Number,position,sample,sample.1,plate,Pi,SynCom,Genotype,Fraction,Well,Plate,OTU_Header,ID_Matrix,Depth,LDepth,CAP1,CAP2,MDS1,MDS2,MDS3,MDS4
P5,P5Plate1,r29,29,10,50uM,Full,phf1,Root,E1,Plate1,P5Plate1PiDOR1,Plate1PiDOR1E1,22992,10.0429016083188,0.878522889225823,1.33574013199782,-0.211979773849366,-0.105678932075581,0.597505653606128,-0.901166641876536
P52,P52Plate1,r36,36,12,50uM,Full,phr1/phl1,Root,D7,Plate1,P52Plate1PiDOR1,Plate1PiDOR1D7,5069,8.53089883847235,0.0815454175108489,-0.642905878917319,-0.00140612134719966,0.158762218001035,0.751986259870861,-1.24412633816213
P52,P52Plate2,r43,43,15,1000uM,Full,Col-0,Root,D7,Plate2,P52Plate2PiDOR1,Plate2PiDOR1D7,188676,12.1477865372583,-0.131337749390153,1.2629244361746,0.149118959791663,-0.0283214252204631,0.63206560144832,-0.332104261805304
P56,P56Plate2,r18,18,6,0uM,Full,phr1/phl1,Root,H7,Plate2,P56Plate2PiDOR1,Plate2PiDOR1H7,43659,10.6841647255814,1.01367104304378,-0.306003608444342,0.761192278753965,-0.271613478142902,0.1139979382245,-0.980301267133702
P59,P59Plate1,r21,21,7,50uM,Full,phr1/phl1,Root,C8,Plate1,P59Plate1PiDOR1,Plate1PiDOR1C8,10475,9.25674674479034,-0.285032029697137,-0.0359303987042085,-0.0687394350377151,-0.902248525900386,0.624807958067664,0.0221870030518902
P59,P59Plate2,r28,28,10,50uM,Full,Col-0,Root,C8,Plate2,P59Plate2PiDOR1,Plate2PiDOR1C8,246229,12.41401727621,-0.839244183927603,1.2773800665527,-0.18009815931722,0.696032672527747,-1.17689668801102,-1.08664601930624
P60,P60Plate2,r3,3,1,0uM,Full,phr1/phl1,Root,D8,Plate2,P60Plate2PiDOR1,Plate2PiDOR1D8,52239,10.8635846213475,-0.3847567688326,-1.25798685616463,0.00359448784771929,-0.265881928374237,-0.143732838834719,0.308411875619155
P61,P61Plate2,r32,32,11,50uM,Full,phf1,Root,E8,Plate2,P61Plate2PiDOR1,Plate2PiDOR1E8,38488,10.5581017833793,-0.268585014801964,1.1179764011068,-1.0067812771095,0.00912294277555533,0.0203893577139108,-0.257444545677027
P61,P61Plate1,r19,19,7,50uM,Full,Col-0,Root,E8,Plate1,P61Plate1PiDOR1,Plate1PiDOR1E8,26420,10.1818765780763,-0.337301863043922,0.547970152144111,0.070752066117228,-0.551059592222918,0.626118245349296,-0.00259433164084937
P62,P62Plate2,r49,49,17,1000uM,Full,Col-0,Root,F8,Plate2,P62Plate2PiDOR1,Plate2PiDOR1F8,56404,10.9402953569571,-1.41543175835725,0.490346255737332,-0.40223005330915,0.863446632105118,-1.79108967794777,-0.184230266056325
P62,P62Plate1,r9,9,3,0uM,Full,phr1/phl1,Root,F8,Plate1,P62Plate1PiDOR1,Plate1PiDOR1F8,15748,9.66446865206363,-0.0300355570654739,-1.11336494704937,0.135568123343755,0.140889773442342,0.11981869932058,-0.349418061798794
P63,P63Plate1,r37,37,13,1000uM,Full,Col-0,Root,G8,Plate1,P63Plate1PiDOR1,Plate1PiDOR1G8,11001,9.30574145673943,1.16386438261896,-0.103153035325464,1.19151538577187,-0.243122901104802,0.374433820393663,-0.257415769798675
P63,P63Plate2,r34,34,12,50uM,Full,Col-0,Root,G8,Plate2,P63Plate2PiDOR1,Plate2PiDOR1G8,182438,12.1141656682573,-1.72011660186233,0.635565287947798,-0.485240320547627,0.422692964763666,-0.895760133289195,0.844760704599413
P64,P64Plate2,r26,26,9,50uM,Full,phf1,Root,H8,Plate2,P64Plate2PiDOR1,Plate2PiDOR1H8,27288,10.2142023240985,-0.194359149500812,0.506120084729174,-0.895965729497909,0.0950774883803842,-0.122281374311743,-0.474170328897742
P65,P65Plate2,r30,30,10,50uM,Full,phr1/phl1,Root,A9,Plate2,P65Plate2PiDOR1,Plate2PiDOR1A9,1133,7.03262426102801,-0.15254547493555,-3.61479293306558,0.805796039113233,3.63956630376331,1.25090196080401,1.62339039471243
P67,P67Plate1,r24,24,8,50uM,Full,phr1/phl1,Root,C9,Plate1,P67Plate1PiDOR1,Plate1PiDOR1C9,13698,9.52500511575785,-0.919258789065242,-0.48261452388569,-0.45844403749504,-0.71090749275149,0.0969510296057484,0.331124960160682
P69,P69Plate1,r2,2,1,0uM,Full,phf1,Root,E9,Plate1,P69Plate1PiDOR1,Plate1PiDOR1E9,10402,9.24975337433302,0.813812918221367,0.892074906942591,-0.180727413581761,0.219265773219506,0.182985534027896,-0.286996714743531
P7,P7Plate1,r5,5,2,0uM,Full,phf1,Root,G1,Plate1,P7Plate1PiDOR1,Plate1PiDOR1G1,9933,9.20361782621536,0.0964957896332107,0.218944632775906,-0.522136094848131,0.329634440581529,0.179990050335475,0.079905453850637
P71,P71Plate1,r22,22,8,50uM,Full,Col-0,Root,G9,Plate1,P71Plate1PiDOR1,Plate1PiDOR1G9,15321,9.63697971531575,-0.3649858459338,0.774044027173137,0.137009277389799,-0.718247258478097,0.160233377491726,0.323527423341986
P73,P73Plate1,r23,23,8,50uM,Full,phf1,Root,A10,Plate1,P73Plate1PiDOR1,Plate1PiDOR1A10,39790,10.591370903421,1.93907878073326,0.368552241966457,0.709764261929951,-0.30114268174047,-0.785808640902977,-0.184868331834167
P75,P75Plate1,r38,38,13,1000uM,Full,phf1,Root,C10,Plate1,P75Plate1PiDOR1,Plate1PiDOR1C10,27151,10.2091691570963,0.802641579014668,0.256600319339456,-0.223194792139642,0.039936107183925,0.670549294597948,-0.21636081242938
P76,P76Plate1,r52,52,18,1000uM,Full,Col-0,Root,D10,Plate1,P76Plate1PiDOR1,Plate1PiDOR1D10,71118,11.1720957483076,-0.944662576992665,0.992123017934583,-0.306198277221937,0.143293464337553,0.648750454017866,-0.187311220836609
P79,P79Plate1,r17,17,6,0uM,Full,phf1,Root,G10,Plate1,P79Plate1PiDOR1,Plate1PiDOR1G10,46717,10.7518634031116,1.80732885084683,-0.861813324705786,0.846706893300216,-0.190363611613792,-0.799826114122234,0.280040676975577
P81,P81Plate1,r48,48,16,1000uM,Full,phr1/phl1,Root,A11,Plate1,P81Plate1PiDOR1,Plate1PiDOR1A11,66686,11.1077503148202,-0.962195296089636,0.0206706756073246,-0.654454149488599,0.135679404175333,-0.48432299609677,-0.471640700125041
P82,P82Plate1,r6,6,2,0uM,Full,phr1/phl1,Root,B11,Plate1,P82Plate1PiDOR1,Plate1PiDOR1B11,13993,9.54631248355571,-1.03167879882303,-0.695006517521764,-0.44389406844927,-0.196411382936059,-0.0631230493015458,0.222302184269262
P83,P83Plate1,r14,14,5,0uM,Full,phf1,Root,C11,Plate1,P83Plate1PiDOR1,Plate1PiDOR1C11,12031,9.39524193103352,0.18713776599505,1.14496229552531,-0.508416999272926,0.110055200673662,0.368588518369905,-0.229182651534928
P86,P86Plate1,r46,46,16,1000uM,Full,Col-0,Root,F11,Plate1,P86Plate1PiDOR1,Plate1PiDOR1F11,107604,11.58621310074,-1.09414367067681,0.971763759090115,-0.567905762125692,0.0630422185399435,-0.269721837461952,0.0154867935088775
P87,P87Plate1,r1,1,1,0uM,Full,Col-0,Root,G11,Plate1,P87Plate1PiDOR1,Plate1PiDOR1G11,49427,10.8082521125717,0.233074272871273,1.17577035998094,0.391806870555925,-0.0302927198854799,0.358114796124635,-0.673977700217765
P94,P94Plate1,r41,41,14,1000uM,Full,phf1,Root,F12,Plate1,P94Plate1PiDOR1,Plate1PiDOR1F12,18093,9.8032804021191,1.57320174399624,0.073100451042939,0.406778878410226,-0.00721678645281063,0.328647307414759,-0.0103185657375444
