Plot,DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Fraction,Phosphate,Pot,Depth,LDepth,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
Plot12,Plate2D8,Plate2,D8,D,8,R46,high-4,phr1/phl1,Root,high,Pot46,34669,10.4536011948826,-1.46673361103121,1.10595662222182,-0.460514059588196,0.461857898216085,0.12070988676899,0.340846358494098,0.243042011176114,0.722240636782525,-0.26432541407376,-0.206936523501114,-0.166537973893495,0.0835000081251655,0.0749816473971228
Plot15,Plate1D5,Plate1,D5,D,5,R47,high-5,phr1/phl1,Root,high,Pot47,12351,9.42149231043801,5.96266901334953,0.14190029367594,0.0526767732472614,-0.661793850256411,-0.708226697398913,-1.18128188725226,0.09814806741803,0.542116316244908,-0.0995113952996787,0.171181083606662,0.0926205048396377,-0.0852334934751272,0.0450084905358562
Plot3,Plate1B12,Plate1,B12,B,12,R49,high-1,phf1,Root,high,Pot49,30132,10.3133430089456,-1.58666745006293,1.27632681661472,-0.0190770166682386,0.515992379894899,-0.830459600125594,-1.16847236915138,-0.0568804595755499,-0.569155600276979,-0.288246240948695,0.114527495026636,-0.0264942120193871,0.107556485206908,0.0528385192035207
Plot6,Plate2C4,Plate2,C4,C,4,R50,high-2,phf1,Root,high,Pot50,94839,11.4599359960495,-2.00071233078859,2.93602203745919,-0.205496195746276,0.25874933527023,0.167083223810211,0.0163232466012433,0.543323744622988,0.467227856532411,0.0735729445516059,0.182027422945114,-0.125240756919584,-0.114134006275084,-0.102502290619919
Plot9,Plate2C2,Plate2,C2,C,2,R51,high-3,phf1,Root,high,Pot51,56383,10.9399229736108,-1.4061116410905,0.197565583064527,-0.575811278741985,0.414710059255699,-0.137021658138417,0.143012405959008,-0.326861104458524,0.143363059016123,-0.122572950575795,-0.024784957288367,0.0177847724069802,-0.0396687031968231,0.0296419253133904
Plot15,Plate1B3,Plate1,B3,B,3,R53,high-5,phf1,Root,high,Pot53,10242,9.2342521920225,5.96266901334953,0.14190029367594,0.0526767732472614,-0.661793850256411,-0.708226697398913,-1.18128188725226,0.09814806741803,0.542116316244908,-0.0995113952996787,0.171181083606662,0.0926205048396377,-0.0852334934751272,0.0450084905358562
Plot18,Plate1D3,Plate1,D3,D,3,R54,high-6,phf1,Root,high,Pot54,29332,10.2864343492137,1.00848648278335,-1.61473532989853,-0.662944343316463,0.435630561441076,-0.145632477515551,-1.06609236393344,0.0979064394350566,-0.0574542512340505,-0.210040821701978,-0.39641496000487,-0.0433977401787117,-0.00222373317807089,-0.136149027233048
Plot1,Plate2E12,Plate2,E12,E,12,R55,low+Pi-1,Col-0,Root,low+Pi,Pot55,54794,10.9113359778906,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot4,Plate1F3,Plate1,F3,F,3,R56,low+Pi-2,Col-0,Root,low+Pi,Pot56,18550,9.82822506803558,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot7,Plate2E7,Plate2,E7,E,7,R57,low+Pi-3,Col-0,Root,low+Pi,Pot57,53813,10.8932703526484,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot10,Plate2F7,Plate2,F7,F,7,R58,low+Pi-4,Col-0,Root,low+Pi,Pot58,48231,10.7837572468311,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot4,Plate1E6,Plate1,E6,E,6,R62,low+Pi-2,phr1/phl1,Root,low+Pi,Pot62,18558,9.82865624191312,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot10,Plate2F10,Plate2,F10,F,10,R64,low+Pi-4,phr1/phl1,Root,low+Pi,Pot64,21381,9.97025795616998,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot13,Plate2H6,Plate2,H6,H,6,R65,low+Pi-5,phr1/phl1,Root,low+Pi,Pot65,193462,12.1728363897375,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot16,Plate2G12,Plate2,G12,G,12,R66,low+Pi-6,phr1/phl1,Root,low+Pi,Pot66,25294,10.1383224924399,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot1,Plate3C1,Plate3,C1,C,1,R67,low+Pi-1,phf1,Root,low+Pi,Pot67,109972,11.6079810669178,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot7,Plate2B5,Plate2,B5,B,5,R69,low+Pi-3,phf1,Root,low+Pi,Pot69,104848,11.5602669612793,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot7,Plate2A10,Plate2,A10,A,10,R69,low+Pi-3,phf1,Root,low+Pi,Pot69,149780,11.9169228298034,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot13,Plate1H3,Plate1,H3,H,3,R71,low+Pi-5,phf1,Root,low+Pi,Pot71,17813,9.78768380679248,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot16,Plate2H5,Plate2,H5,H,5,R72,low+Pi-6,phf1,Root,low+Pi,Pot72,54156,10.899624049615,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
