DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth
Plate2C2,Plate2,C2,C,2,R51,high-3,phf1,Plot9,Root,high,Pot51,56383,10.9399229736108
Plate1B3,Plate1,B3,B,3,R53,high-5,phf1,Plot15,Root,high,Pot53,10242,9.2342521920225
Plate1D3,Plate1,D3,D,3,R54,high-6,phf1,Plot18,Root,high,Pot54,29332,10.2864343492137
Plate2E12,Plate2,E12,E,12,R55,low+Pi-1,Col-0,Plot1,Root,low+Pi,Pot55,54794,10.9113359778906
Plate1F3,Plate1,F3,F,3,R56,low+Pi-2,Col-0,Plot4,Root,low+Pi,Pot56,18550,9.82822506803558
Plate2E7,Plate2,E7,E,7,R57,low+Pi-3,Col-0,Plot7,Root,low+Pi,Pot57,53813,10.8932703526484
Plate2F7,Plate2,F7,F,7,R58,low+Pi-4,Col-0,Plot10,Root,low+Pi,Pot58,48231,10.7837572468311
Plate1E6,Plate1,E6,E,6,R62,low+Pi-2,phr1/phl1,Plot4,Root,low+Pi,Pot62,18558,9.82865624191312
Plate2F10,Plate2,F10,F,10,R64,low+Pi-4,phr1/phl1,Plot10,Root,low+Pi,Pot64,21381,9.97025795616998
Plate2H6,Plate2,H6,H,6,R65,low+Pi-5,phr1/phl1,Plot13,Root,low+Pi,Pot65,193462,12.1728363897375
Plate2G12,Plate2,G12,G,12,R66,low+Pi-6,phr1/phl1,Plot16,Root,low+Pi,Pot66,25294,10.1383224924399
Plate3C1,Plate3,C1,C,1,R67,low+Pi-1,phf1,Plot1,Root,low+Pi,Pot67,109972,11.6079810669178
Plate2B5,Plate2,B5,B,5,R69,low+Pi-3,phf1,Plot7,Root,low+Pi,Pot69,104848,11.5602669612793
Plate2A10,Plate2,A10,A,10,R69,low+Pi-3,phf1,Plot7,Root,low+Pi,Pot69,149780,11.9169228298034
Plate1H3,Plate1,H3,H,3,R71,low+Pi-5,phf1,Plot13,Root,low+Pi,Pot71,17813,9.78768380679248
Plate2H5,Plate2,H5,H,5,R72,low+Pi-6,phf1,Plot16,Root,low+Pi,Pot72,54156,10.899624049615
Plate1E7,Plate1,E7,E,7,S2,low-2,Col-0,Plot4,Soil,low,Pot2,44260,10.697836613605
Plate3B4,Plate3,B4,B,4,S3,low-3,Col-0,Plot7,Soil,low,Pot3,295337,12.5958723561919
