Gene,group,value
AT3G23870,NB_1000Pi,-0.660224924839183
AT3G25790,NB_1000Pi,-0.451249335773524
AT3G27190,NB_1000Pi,-0.911429616556665
AT3G43110,NB_1000Pi,-0.847699056954874
AT3G44510,NB_1000Pi,-0.890713506170483
AT3G47420,NB_1000Pi,-1.19716663395569
AT3G48850,NB_1000Pi,-0.888681239511252
AT3G49350,NB_1000Pi,-0.927611156329828
AT3G50350,NB_1000Pi,-0.779053970362352
AT3G51860,NB_1000Pi,-0.911515510174636
AT3G52190,NB_1000Pi,-1.02407386166518
AT3G52720,NB_1000Pi,-1.10403170702589
AT3G52820,NB_1000Pi,-0.981072714620948
AT3G53620,NB_1000Pi,-0.810814115344162
AT3G56040,NB_1000Pi,-0.669502265084348
AT3G59140,NB_1000Pi,-0.831176777629629
AT3G61410,NB_1000Pi,-1.06550106135176
AT4G00500,NB_1000Pi,-0.73517770380399
AT4G00550,NB_1000Pi,-0.930526079318487
AT4G01480,NB_1000Pi,-1.07701634364668
AT4G03960,NB_1000Pi,-0.959598725089677
AT4G10960,NB_1000Pi,NA
AT4G11600,NB_1000Pi,-0.874200902301293
AT4G13000,NB_1000Pi,-0.867612212206509
AT4G13700,NB_1000Pi,-0.820604248869936
AT4G15740,NB_1000Pi,-1.03869552910613
AT4G17030,NB_1000Pi,-0.799206165966421
AT4G17615,NB_1000Pi,-0.915366523773426
AT4G17790,NB_1000Pi,-0.743238860336939
AT4G18700,NB_1000Pi,-0.740704379521344
AT4G19810,NB_1000Pi,-0.75340962062197
AT4G21470,NB_1000Pi,-0.878491853210052
AT4G23000,NB_1000Pi,-0.999537054159073
AT4G24890,NB_1000Pi,-0.848152695592406
AT4G25160,NB_1000Pi,-0.869889998196561
AT4G26620,NB_1000Pi,-0.580287538867717
AT4G28260,NB_1000Pi,-0.422733926384324
AT4G31240,NB_1000Pi,-0.911455243439329
AT4G33030,NB_1000Pi,-0.931497637561257
AT4G33770,NB_1000Pi,-0.929120708740848
AT4G34200,NB_1000Pi,-0.748630099616055
AT4G35750,NB_1000Pi,-0.410117155380932
AT4G36350,NB_1000Pi,-0.792644027050514
AT4G38320,NB_1000Pi,-0.499029961829368
AT5G01220,NB_1000Pi,-0.946341883292811
AT5G01820,NB_1000Pi,-1.05690976896798
AT5G02200,NB_1000Pi,-0.890015465797053
AT5G06300,NB_1000Pi,-0.64092017712182
AT5G08030,NB_1000Pi,-0.753673455399942
AT5G08380,NB_1000Pi,-0.773321432858799
AT5G09470,NB_1000Pi,-0.854938970604206
AT5G09570,NB_1000Pi,-0.772912179758537
AT5G10740,NB_1000Pi,-0.840034028897726
AT5G13820,NB_1000Pi,-0.903413855467623
AT5G17340,NB_1000Pi,-0.868190374627373
AT5G19430,NB_1000Pi,-0.747697823677864
AT5G20150,NB_1000Pi,-0.908917002075862
AT5G20400,NB_1000Pi,-0.862417735351905
AT5G20410,NB_1000Pi,-0.923292749885476
AT5G20790,NB_1000Pi,-0.929892310180433
AT5G24600,NB_1000Pi,-0.792432629975452
AT5G26340,NB_1000Pi,-0.410121987909095
AT5G36940,NB_1000Pi,-0.663158827592072
AT5G38710,NB_1000Pi,-0.750312477644194
AT5G39720,NB_1000Pi,-0.947327543239727
AT5G40690,NB_1000Pi,-0.619711009180947
AT5G41080,NB_1000Pi,0.133781770889954
AT5G42800,NB_1000Pi,-0.148847926714649
AT5G43150,NB_1000Pi,-0.963992184045386
AT5G43360,NB_1000Pi,-1.0025850243083
AT5G43370,NB_1000Pi,-1.01718456918184
AT5G47740,NB_1000Pi,-0.993332297381096
AT5G51050,NB_1000Pi,-1.09218515473269
AT5G53420,NB_1000Pi,-0.751885462488119
AT5G57610,NB_1000Pi,-0.903388894397976
AT5G61510,NB_1000Pi,-0.589386998012587
AT5G61550,NB_1000Pi,-0.95077169665261
AT5G63130,NB_1000Pi,-0.905431899759841
AT5G63680,NB_1000Pi,-0.856770902934511
AT5G64000,NB_1000Pi,-0.709248439555831
AT5G67080,NB_1000Pi,-0.560760596346204
AT1G02310,Full_1000Pi,-0.790026482850252
AT1G03020,Full_1000Pi,-0.345819195693825
AT1G03250,Full_1000Pi,-0.813687444388961
AT1G05000,Full_1000Pi,-0.769929908748066
AT1G08310,Full_1000Pi,-0.971649579098541
AT1G08650,Full_1000Pi,-0.567679590465814
AT1G13300,Full_1000Pi,-0.736977110386524
AT1G13750,Full_1000Pi,-0.816754045850438
AT1G17710,Full_1000Pi,-0.858034238367128
AT1G17745,Full_1000Pi,-0.90045654039951
AT1G17830,Full_1000Pi,-0.686549759906676
AT1G19200,Full_1000Pi,-0.832816773809361
AT1G22150,Full_1000Pi,-0.750035553235227
AT1G22170,Full_1000Pi,-0.861131554534415
AT1G22410,Full_1000Pi,-0.609572037311184
AT1G22990,Full_1000Pi,-0.784001965703587
AT1G23120,Full_1000Pi,-0.873853681805566
AT1G23140,Full_1000Pi,-0.756161784778377
AT1G24575,Full_1000Pi,-0.805948294721307
AT1G27760,Full_1000Pi,-0.57889477924716
AT1G30500,Full_1000Pi,-0.850312951084955
AT1G31120,Full_1000Pi,-0.717810329296715
AT1G32900,Full_1000Pi,0.951857169592844
AT1G35720,Full_1000Pi,-0.780349079767807
AT1G48370,Full_1000Pi,-0.740083934546227
AT1G50110,Full_1000Pi,-0.857302591418908
AT1G53310,Full_1000Pi,-0.656145160174514
AT1G56600,Full_1000Pi,-0.638595433533497
AT1G56650,Full_1000Pi,-0.334423672431501
AT1G61800,Full_1000Pi,-0.416381803793938
AT1G62540,Full_1000Pi,-0.771499252350558
AT1G62710,Full_1000Pi,-0.64688649563633
AT1G64590,Full_1000Pi,-1.29384902094564
AT1G66390,Full_1000Pi,-0.6891844198634
AT1G67600,Full_1000Pi,-0.808609242638363
AT1G67810,Full_1000Pi,-1.19070073019653
AT1G67920,Full_1000Pi,-0.751153525826303
AT1G68620,Full_1000Pi,-1.0019134777988
AT1G68670,Full_1000Pi,-0.667332721315532
AT1G68740,Full_1000Pi,-0.781126917437261
AT1G69930,Full_1000Pi,-0.722465748059173
AT1G70900,Full_1000Pi,-0.99084700074939
AT1G71130,Full_1000Pi,-0.979821698276592
AT1G72070,Full_1000Pi,-0.89703593755066
AT1G72520,Full_1000Pi,0.0723260280239787
AT1G72890,Full_1000Pi,-0.799865471160944
AT1G73010,Full_1000Pi,-0.846561069660231
AT1G73220,Full_1000Pi,-0.915792530740167
AT1G74210,Full_1000Pi,-0.838951704097127
AT1G76410,Full_1000Pi,-0.819815555902201
AT1G76430,Full_1000Pi,-0.969383114021736
AT1G76520,Full_1000Pi,-1.40713187022036
AT2G01880,Full_1000Pi,-0.189487914768706
AT2G02990,Full_1000Pi,-0.974335798840064
AT2G03020,Full_1000Pi,0.163939193504854
AT2G04040,Full_1000Pi,-0.651462674052538
AT2G04160,Full_1000Pi,-0.848447501807541
AT2G11810,Full_1000Pi,-0.875461593459058
AT2G16430,Full_1000Pi,-0.560170250724871
AT2G17280,Full_1000Pi,-1.0341074090969
AT2G18660,Full_1000Pi,-0.441084574428412
AT2G22080,Full_1000Pi,-1.02151277319969
AT2G26660,Full_1000Pi,-0.910943727749069
AT2G27190,Full_1000Pi,-0.900770400752103
AT2G28660,Full_1000Pi,-0.95244632118952
AT2G29460,Full_1000Pi,-0.760298412919383
AT2G29670,Full_1000Pi,-0.40403625683501
AT2G30540,Full_1000Pi,-0.347043480557224
AT2G30550,Full_1000Pi,-0.447337392489835
AT2G32830,Full_1000Pi,-0.828655155794971
AT2G34810,Full_1000Pi,-0.322528118076557
AT2G36970,Full_1000Pi,-0.60263066585819
AT2G37890,Full_1000Pi,-0.752380686090674
AT2G37980,Full_1000Pi,-1.01748352360388
AT2G38740,Full_1000Pi,-0.816423102473992
AT2G38940,Full_1000Pi,-0.813218969181815
AT2G40710,Full_1000Pi,0.298272340963804
AT2G40750,Full_1000Pi,-0.752996476946024
AT2G41070,Full_1000Pi,-0.810127521984415
AT2G42690,Full_1000Pi,-0.365675593556935
AT2G43535,Full_1000Pi,-0.875431027863596
AT2G44260,Full_1000Pi,-1.13622120999857
AT2G45130,Full_1000Pi,-0.87041697162951
AT2G46880,Full_1000Pi,-0.798631064104126
AT2G47130,Full_1000Pi,-0.957479852526452
AT3G01830,Full_1000Pi,-0.397060807388077
AT3G02040,Full_1000Pi,-1.07752563185649
AT3G02870,Full_1000Pi,-0.762725956064068
AT3G02980,Full_1000Pi,-0.705586518233443
AT3G03310,Full_1000Pi,-1.08611837680362
AT3G03540,Full_1000Pi,-0.369275006234041
AT3G03790,Full_1000Pi,-0.762778489153621
AT3G04350,Full_1000Pi,-1.1044574179667
AT3G04530,Full_1000Pi,-0.717733126924687
AT3G05630,Full_1000Pi,-0.939151238788056
AT3G05690,Full_1000Pi,-0.966535720201382
AT3G07350,Full_1000Pi,-0.843537134844359
AT3G08720,Full_1000Pi,-0.752917224418479
AT3G10420,Full_1000Pi,-0.76140851420903
AT3G11230,Full_1000Pi,-0.928318138697314
AT3G11670,Full_1000Pi,-0.205623210941217
AT3G12350,Full_1000Pi,-0.67570646322956
AT3G12500,Full_1000Pi,-1.12626987651549
AT3G13110,Full_1000Pi,-0.755879519581609
AT3G14940,Full_1000Pi,-0.861915904509611
AT3G15990,Full_1000Pi,-0.736632393293648
AT3G17790,Full_1000Pi,-0.866993663211947
AT3G18080,Full_1000Pi,-0.937125162171099
AT3G19970,Full_1000Pi,-0.754281116756507
AT3G20660,Full_1000Pi,-1.19875541247341
AT3G21560,Full_1000Pi,-0.170715518613668
AT3G23870,Full_1000Pi,-1.02501121671661
AT3G25790,Full_1000Pi,-1.20964612200233
AT3G27190,Full_1000Pi,-0.974277124220677
AT3G43110,Full_1000Pi,-0.873879397928216
AT3G44510,Full_1000Pi,-0.906444437063326
AT3G47420,Full_1000Pi,-0.595397887770629
AT3G48850,Full_1000Pi,-0.837703686570785
AT3G49350,Full_1000Pi,-0.719809185553529
AT3G50350,Full_1000Pi,-1.08395890273482
AT3G51860,Full_1000Pi,-0.894696394417889
AT3G52190,Full_1000Pi,-0.807918591783196
AT3G52720,Full_1000Pi,0.168029517415853
AT3G52820,Full_1000Pi,-0.782948682982461
AT3G53620,Full_1000Pi,-0.960968658339842
AT3G56040,Full_1000Pi,-0.863473398060249
AT3G59140,Full_1000Pi,-0.721334769845275
AT3G61410,Full_1000Pi,-0.616731626833564
AT4G00500,Full_1000Pi,-0.861774955717663
AT4G00550,Full_1000Pi,-0.813560975846886
AT4G01480,Full_1000Pi,-0.763763614178714
AT4G03960,Full_1000Pi,-0.930545472171745
AT4G10960,Full_1000Pi,NA
AT4G11600,Full_1000Pi,-0.89764274026633
AT4G13000,Full_1000Pi,-0.80927000764301
AT4G13700,Full_1000Pi,-0.892631718899083
AT4G15740,Full_1000Pi,-0.801315283485865
AT4G17030,Full_1000Pi,-0.741216448946636
AT4G17615,Full_1000Pi,-0.599980293725118
AT4G17790,Full_1000Pi,-1.03489564871676
AT4G18700,Full_1000Pi,-0.941518789257256
AT4G19810,Full_1000Pi,-1.07146589349969
AT4G21470,Full_1000Pi,-0.922100008645304
