baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genotype
2954.77783172768,0.826466723730651,1.57946002971557,0.523259030416542,0.60079400737186,0.894500969404342,Col-0
3794.48636004778,0.120821435387211,3.54524831923573,0.034079823049816,0.972813498011657,1,Col-0
2043.30781220958,-0.268773311317334,0.89018262194364,-0.301930530535958,0.762705021230286,0.963209949491856,Col-0
349.137954765341,-0.590927820832535,1.62562823039382,-0.363507356592459,0.716225918471124,0.952817164205513,Col-0
449.737058392639,1.46685689776142,1.68106393140475,0.872576509648665,0.382893948857515,0.793943647196867,Col-0
291.524212206688,2.07507808780134,1.84155810386302,1.12680565628011,0.259824658522357,0.594925619981098,Col-0
325.429085282666,1.7572667972677,2.44691973272239,0.71815465532766,0.47266193340815,0.846096600154061,Col-0
236.396756330972,0.899374072853849,1.69052913075553,0.532007438672118,0.594720843493604,0.894500969404342,Col-0
481.7765532196,0.912558464285064,1.49825214153977,0.609082035649365,0.542470064301539,0.874376090486033,Col-0
3681.95855207487,-3.12449100259408,1.89445898388767,-1.64927878046862,0.0990905347811644,0.299718284214633,Col-0
1031.86274883769,5.63900579867321,2.42729215730099,2.32316731288889,0.0201701660104723,0.0760260103471649,Col-0
201.111864471821,-0.0896944274743885,1.71058199363124,-0.0524350354489493,0.958182058252044,1,Col-0
161.944436076867,-2.16836070474083,2.5552392286518,-0.848594010465665,0.396107240948946,0.804238849495335,Col-0
770.883784340405,-23.5745724856752,5.38502254186707,-4.37780386291596,1.1988115833424e-05,0.00010878105108107,Col-0
1270.85816415829,-0.247928239962935,1.71753995327649,-0.144350784673143,0.885223477826492,1,Col-0
175.40797346524,8.51734248850418,3.06393407833286,2.7798713258017,0.00543804415677151,0.0261239376158631,Col-0
284.463816478664,0.844120046881649,2.01386098022966,0.419155073348403,0.675102803489648,0.924023390251194,Col-0
225.097473455665,0.0330125620327129,0.925622609167069,0.0356652502929024,0.971549279162559,1,Col-0
277.82504816472,-1.03175193473942,1.32158412059762,-0.780693350244603,0.434982872611905,0.832503768447562,Col-0
121.578791875386,1.89409378181702,2.64019658038446,0.717406346137003,0.473123404984108,0.846096600154061,Col-0
150.26545533158,1.67615486214022,1.68982982089301,0.99190749353354,0.321242653334134,0.696499558113831,Col-0
189.2819668513,1.3733195913141,1.93764400160663,0.70875743437669,0.478475016477446,0.849466514760684,Col-0
36.275036787291,24.3325214868104,5.03407719991132,4.83356144940309,1.34111855962437e-06,1.82541137282206e-05,Col-0
6054.87784677086,-0.652425833538807,4.25509450776866,-0.153328165178859,0.878139490678723,1,Col-0
120.764105514928,1.08685873031366,1.96789398323027,0.552295367319331,0.580746004085099,0.894500969404342,Col-0
1470.50818316296,-1.25231532477894,1.62719067925208,-0.769618054446176,0.441526492095297,0.832503768447562,Col-0
182.114813051745,-6.26754365853896,5.38952102452139,-1.16291292491906,0.244864832884004,0.571351276729343,Col-0
102.650698906437,-2.89992832477264,2.4677865815582,-1.17511309383228,0.239949472816593,0.570753600388984,Col-0
133.733060518349,-0.70571993010793,3.53817366600379,-0.199458815967338,0.841903856131825,1,Col-0
25.0245165073828,-1.70496590395903,2.68211818851945,-0.63567888665644,0.524985740506514,0.871840494986223,Col-0
231.486255728033,1.2412010203586,2.2022656341947,0.563601865772416,0.573025116771554,0.894500969404342,Col-0
8.98274434524542,16.5574472680684,4.57687445031107,3.61763195556808,0.000297310762188197,0.00202336490933634,Col-0
37.8391620225716,0.52199797438363,5.32879894191159,0.0979579038492254,0.921965720404159,1,Col-0
42.4841918011504,1.44102534325832,2.86749916108821,0.502537319910306,0.61528960745835,0.908108155586119,Col-0
61.7121564789651,3.01468046452927,1.88024366792903,1.60334562798967,0.108858368039312,0.325247563044286,Col-0
105.455795710295,-0.479072971464271,2.04497338473134,-0.234268560677238,0.814776491788435,0.988219012317656,Col-0
1075.8023244959,0.957804790984743,1.95079490004081,0.490981799760038,0.623439320233462,0.909182342007132,Col-0
53.7208685788699,-6.3718182201536,4.24661626817427,-1.5004459592703,0.133498922025646,0.371538329109706,Col-0
62.3457260306609,2.02406730806397,2.57906671504508,0.784806106897701,0.432567259025705,0.832503768447562,Col-0
83.9703593360266,1.44886657012767,1.80768095051934,0.801505691428241,0.422838950518894,0.832503768447562,Col-0
143.072258941437,-3.47886786384934,2.18897591362346,-1.58926731089091,0.112000055551296,0.330602573615271,Col-0
70.4719774756975,-29.9319763121314,5.43730182398598,-5.50493190944269,3.69310979729098e-08,1.02250049531477e-06,Col-0
12.9192053423556,-18.1825725906243,4.14423413067335,-4.38743855132287,1.14693382382966e-05,0.000108076456476256,Col-0
47.2828681399065,0.790950107847784,2.56825568808155,0.307971714622625,0.758103855421406,0.963209949491856,Col-0
66.8246123432204,0.130082905515364,2.10705971979407,0.0617366960667243,0.950772516457464,1,Col-0
444.915867315946,0.712245330805141,1.61327267475233,0.441490977905819,0.658857591640211,0.911248072041268,Col-0
140.704907735501,0.703632735831591,2.06661068984729,0.34047667482238,0.733497585459652,0.953841245837703,Col-0
9.19827774643123,-15.3163181303194,5.46222591433515,-2.80404332785341,0.00504661227469433,0.0247284001460022,Col-0
25.2984302934285,19.5472071506909,5.14523092510172,3.79909229250084,0.000145227007726712,0.00111189427790764,Col-0
74.8786438747361,4.35086537559073,2.08872975003644,2.0830197757823,0.0372494210107523,0.136210569367676,Col-0
52.5998079208649,4.5905563846756,1.93333289878334,2.37442624990475,0.0175762470446033,0.0694545246117388,Col-0
29.7934619778375,-0.854243483609723,2.43085973141534,-0.35141619755754,0.725276132440549,0.953841245837703,Col-0
