Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,CAP1,CAP2,CAP3,CAP4,CAP5,MDS1
Agar,SC,P35Plate3Phosphate,Pi,Rep1,50 micromolar Pi,h1,Plate3PhosphateH1,AgarPlant,Agar_SC_50P,5074,8.53188474015923,50,0.168988304537562,-0.14981744866075,0.191173783055687,-0.465429927349911,-0.902774343995084,0.529519935813934
Agar,SC,P27Plate1Phosphate,Pi,Rep1,100 micromolar Pi,c7,Plate1PhosphateC7,AgarPlant,Agar_SC_100P,16105,9.6868850617653,100,0.412378466249815,-0.914843213907539,-1.20166693206175,0.412915216612046,0.171127347566707,-0.238390331189909
Agar,SC,P22Plate1Phosphate,Pi,Rep2,100 micromolar Pi,d7,Plate1PhosphateD7,AgarPlant,Agar_SC_100P,11917,9.38572123109081,100,0.600114518832313,-0.875662583886964,-1.02991639064365,0.0522936678668212,-0.0469515452621198,-0.309670119943926
Agar,SC,P35Plate2Phosphate,Pi,Rep2,100 micromolar Pi,h1,Plate2PhosphateH1,AgarPlant,Agar_SC_100P,3203,8.07184314960916,100,0.387202723436799,-0.0482611811199688,-0.199144060401466,0.314046232779465,0.269341997748259,-1.08835030258322
Agar,SC,P17Plate3Phosphate,Pi,Rep2,100 micromolar Pi,b4,Plate3PhosphateB4,AgarPlant,Agar_SC_100P,6244,8.73937628163532,100,0.550973200041484,-0.979044132497822,-0.332664698721614,-0.480669098097414,-0.210068836721213,0.0843137757603842
Agar,SC,P80Plate3Phosphate,Pi,Rep1,100 micromolar Pi,f4,Plate3PhosphateF4,AgarPlant,Agar_SC_100P,5915,8.68524677641249,100,0.456655705664166,-2.29266816211639,-0.418739491965854,0.226064876567143,-0.56558977135619,1.25015925168659
Agar,SC,P81Plate3Phosphate,Pi,Rep1,100 micromolar Pi,g1,Plate3PhosphateG1,AgarPlant,Agar_SC_100P,3047,8.02191277898571,100,0.332874813004005,-1.30745716670216,-0.00476977616700511,1.0224021489634,-0.428565078735402,0.301937726270085
Agar,SC,P63Plate1Phosphate,Pi,Rep1,1000 micromolar Pi,e6,Plate1PhosphateE6,AgarPlant,Agar_SC_1000P,18678,9.83510163966966,1000,0.410263275452749,0.263120424749571,0.70626469233827,0.489818548551676,-0.0693177919388244,-0.0987675337256451
Agar,SC,P20Plate1Phosphate,Pi,Rep2,1000 micromolar Pi,g9,Plate1PhosphateG9,AgarPlant,Agar_SC_1000P,13834,9.53488460916053,1000,0.24333936781961,0.725961912803496,1.2714631880569,0.873123055553733,0.338633071824926,-0.54052592730679
Agar,SC,P66Plate2Phosphate,Pi,Rep1,1000 micromolar Pi,d5,Plate2PhosphateD5,AgarPlant,Agar_SC_1000P,3281,8.0959035329611,1000,0.416098361245291,0.571852335792141,1.28624909914562,0.0240326808459811,-0.290247412318878,-0.418497717609684
Agar,SC,P34Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,e10,Plate2PhosphateE10,AgarPlant,Agar_SC_1000P,4086,8.31532177537757,1000,0.424484663892915,-0.0498089527636186,1.53158668975214,0.75956538132786,-0.34623775366765,0.116347190700143
Agar,SC,P50Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,f8,Plate2PhosphateF8,AgarPlant,Agar_SC_1000P,1977,7.58933582317062,1000,0.486145403872656,-0.496574124868192,1.03833149794126,0.691515473839574,0.286664610732221,0.532050380618318
Agar,SC,P31Plate3Phosphate,Pi,Rep1,1000 micromolar Pi,b2,Plate3PhosphateB2,AgarPlant,Agar_SC_1000P,5677,8.64417820317073,1000,0.397669925334954,-0.336495957664758,0.590343780778921,0.972246497261945,0.0396934857620249,0.409393607323658
