DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate3D1,Plate3,D1,D,1,L1,low-1,Col-0,Plot1,Shoot,low,Pot1,329539,12.7054499870738,-0.531569462323666,-0.103406954762505,-0.669029523473846,-0.819755614151973,-0.0713280119701744,-0.208340383915255
Plate3C2,Plate3,C2,C,2,L2,low-2,Col-0,Plot4,Shoot,low,Pot2,141604,11.8607897084303,-1.57685428424535,-0.791779202521353,-0.48600343361717,1.64906705350146,-0.111123097258214,0.947627007955268
Plate2D4,Plate2,D4,D,4,L3,low-3,Col-0,Plot7,Shoot,low,Pot3,139625,11.8467155363715,0.0350655727467532,-0.668598489984246,-0.72283376187779,-0.295108348827839,-1.7982753316175,-0.0666781991275975
Plate2D5,Plate2,D5,D,5,L4,low-4,Col-0,Plot10,Shoot,low,Pot4,243698,12.403685032768,0.445716042512762,-1.60008634726002,-1.21219177891011,-0.902823795549148,0.415142461689956,0.337933751412829
Plate1G2,Plate1,G2,G,2,L5,low-5,Col-0,Plot13,Shoot,low,Pot5,27396,10.2181522963178,-0.72308692697145,-1.90495687729573,-0.596051336413507,-0.115362262676121,0.009945136890024,-0.0671027561387367
Plate2F4,Plate2,F4,F,4,L6,low-6,Col-0,Plot16,Shoot,low,Pot6,95228,11.4640292951824,-0.927850938861557,-1.83660574623368,-0.872409555010949,0.225006955979206,0.632701621642677,-1.55095468902914
Plate2D1,Plate2,D1,D,1,L7,low-1,phr1/phl1,Plot1,Shoot,low,Pot7,148789,11.9102844739174,0.216159499548996,-0.0668485483599796,-0.448394237105606,1.24260146939118,-0.0335206360875869,-0.151244245015977
Plate2G2,Plate2,G2,G,2,L8,low-2,phr1/phl1,Plot4,Shoot,low,Pot8,87164,11.3755466806168,1.52560974957347,-0.892103220173224,-0.368804002144805,-0.0210385082772529,0.655160053283553,-0.681841166246823
Plate2E8,Plate2,E8,E,8,L9,low-3,phr1/phl1,Plot7,Shoot,low,Pot9,57670,10.9624923866095,1.5574588151435,-1.08931214326122,0.00335500708315199,-0.0545754908279284,0.0011989224883501,-0.239709916828597
Plate2C6,Plate2,C6,C,6,L10,low-4,phr1/phl1,Plot10,Shoot,low,Pot10,224704,12.3225392595281,0.976554869213838,-1.25564540800423,0.79300243061035,-0.117667561420079,0.833064600095573,-0.784028585218648
Plate2E10,Plate2,E10,E,10,L11,low-5,phr1/phl1,Plot13,Shoot,low,Pot11,112265,11.6286174269663,2.13006509283882,-0.907643069666395,-0.187478787008927,-0.989782168318325,1.43309294125883,-0.660834502518122
Plate1F11,Plate1,F11,F,11,L12,low-6,phr1/phl1,Plot16,Shoot,low,Pot12,50121,10.8221953609259,1.92954067806451,0.0707221125654568,0.0362322233078275,-0.819242310047662,0.123259436624391,1.62493415409394
Plate2H3,Plate2,H3,H,3,L13,low-1,phf1,Plot1,Shoot,low,Pot13,90698,11.4152905851435,0.315409962774667,0.170255503122484,1.11742376057945,-0.422845855239205,0.104848648057759,0.359584628931233
Plate1B5,Plate1,B5,B,5,L14,low-2,phf1,Plot4,Shoot,low,Pot14,27372,10.2172758720724,0.0615625524399945,-1.07425186112048,0.822375889715498,-0.63384780857668,0.378881798391082,0.129515178301193
Plate2D9,Plate2,D9,D,9,L16,low-4,phf1,Plot10,Shoot,low,Pot16,90665,11.4149266740881,-0.692911048569142,-0.874953229193958,1.34135780222422,1.23354822726519,0.0781953239735339,1.09379234407835
Plate3D2,Plate3,D2,D,2,L17,low-5,phf1,Plot13,Shoot,low,Pot17,82890,11.3252697065856,-1.03216707623302,-1.03829683653424,0.513051094576949,1.51976171937047,-0.324997620660143,0.907468393974058
Plate3A6,Plate3,A6,A,6,L18,low-6,phf1,Plot16,Shoot,low,Pot18,184566,12.1257624020721,0.555053012348866,-0.431879575022575,1.09560782008627,-0.677935701595294,-2.32624624680211,-0.990121014707981
Plate2B3,Plate2,B3,B,3,L20,medium-2,Col-0,Plot5,Shoot,medium,Pot20,93457,11.4452567164454,0.0626689343300741,-0.216032878296956,-1.13622750415702,0.0332720289130208,-0.22525211981515,0.702565108800386
Plate1H2,Plate1,H2,H,2,L21,medium-3,Col-0,Plot8,Shoot,medium,Pot21,35475,10.4765835020282,-1.43104497776123,0.435538974984532,-0.944196289102986,-0.127519669175896,0.309476371897912,-0.346246407285167
Plate2H4,Plate2,H4,H,4,L23,medium-5,Col-0,Plot14,Shoot,medium,Pot23,57581,10.9609479311567,-0.142776577849727,1.0419200757749,-1.13336996168072,-0.59285487293358,0.577155948854608,1.47961049825921
Plate3B1,Plate3,B1,B,1,L24,medium-6,Col-0,Plot17,Shoot,medium,Pot24,124482,11.7319164061212,-0.884687118752322,-0.765588852718467,-0.559467553097676,0.715064728880188,0.102708036398312,0.778665033320338
Plate2G10,Plate2,G10,G,10,L25,medium-1,phr1/phl1,Plot2,Shoot,medium,Pot25,70546,11.1640202582959,0.927104480927617,-0.876472057140816,-0.474655647539537,-0.0233911238758042,1.08945206871805,-1.16932706173467
Plate2A9,Plate2,A9,A,9,L27,medium-3,phr1/phl1,Plot8,Shoot,medium,Pot27,193015,12.1705231850742,1.25306811661697,0.292736187070568,-0.575758657879912,-0.0178017414918502,-1.21754741371573,-0.398706393595366
Plate3C4,Plate3,C4,C,4,L29,medium-5,phr1/phl1,Plot14,Shoot,medium,Pot29,79840,11.2877799109853,-0.794428060130377,0.213223894162232,0.0428106148502903,1.60013226458381,-1.72896404275859,-1.76101202740387
