DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate1E3,Plate1,E3,E,3,R28,medium-4,phr1/phl1,Plot11,Root,medium,Pot28,3730,8.22416351263786,1.5361643148177,-0.438691799104443,-0.0877899504471723,0.652193377959728,-0.0801942532343707,0.301006426718616
Plate1C2,Plate1,C2,C,2,R29,medium-5,phr1/phl1,Plot14,Root,medium,Pot29,10000,9.21034037197618,1.16771620922615,0.0722756942050995,-0.564655130217844,0.469508465901765,1.03735532054684,-0.265866401211939
Plate1A9,Plate1,A9,A,9,R30,medium-6,phr1/phl1,Plot17,Root,medium,Pot30,14071,9.55187122078826,1.68607501834931,-0.611355355639538,-0.793316845020346,0.788746979289227,-1.06783275619551,-0.107911163051778
Plate2A1,Plate2,A1,A,1,R31,medium-1,phf1,Plot2,Root,medium,Pot31,216110,12.2835428162971,-0.785495609437593,-1.30643272433924,1.5519722408414,0.0316666642281166,-1.27306599429807,-0.959431601817905
Plate2H1,Plate2,H1,H,1,R32,medium-2,phf1,Plot5,Root,medium,Pot32,76220,11.2413791744279,-0.731472865761878,-0.260613390762653,2.01645125313184,0.126730657004393,-1.55369123166881,-0.218430427038549
Plate1D6,Plate1,D6,D,6,R33,medium-3,phf1,Plot8,Root,medium,Pot33,12334,9.42011495555144,0.00101195559794211,-1.04094883133554,1.6105011995634,0.179833975486847,-1.25795263412839,0.752683876657536
Plate1G11,Plate1,G11,G,11,R34,medium-4,phf1,Plot11,Root,medium,Pot34,17961,9.79595801959346,-1.5490364351188,-0.0410362420430181,1.42264001978685,-1.07145885995508,0.582367017981753,-0.794214280192748
Plate2C11,Plate2,C11,C,11,R35,medium-5,phf1,Plot14,Root,medium,Pot35,26714,10.192943051537,-0.399683761478293,-0.903456515209525,1.08981211227297,0.137097775877833,-1.05852462291895,0.307899771568778
Plate1C4,Plate1,C4,C,4,R36,medium-6,phf1,Plot17,Root,medium,Pot36,6704,8.81045964216192,-0.56120283029132,-0.208284634678274,0.684026208322877,0.0246435308822377,1.02355817333657,0.270602172321521
Plate1B1,Plate1,B1,B,1,R37,high-1,Col-0,Plot3,Root,high,Pot37,59550,10.9945715747834,-0.746371103173272,0.220927228421031,-0.717158240298558,-0.499334665462069,-1.32611304179617,-0.380881011659935
Plate1B4,Plate1,B4,B,4,R38,high-2,Col-0,Plot6,Root,high,Pot38,15950,9.67721410821299,-0.102845076203749,0.884520477964928,-0.81663082699076,0.601200076447609,0.577560739018888,0.167786330056406
Plate2B7,Plate2,B7,B,7,R39,high-3,Col-0,Plot9,Root,high,Pot39,44463,10.702412661625,-0.999527497115806,1.03700031655857,-0.151941073350014,-1.27209751729827,-0.600655554140244,0.634521575311659
