Gene,group,value,Cluster,Genotype,Phosphate
AT3G22240,phf1_low_Pi,-0.0705179150842012,Cluster1,phf1,low_Pi
AT3G22240,phr1_phl1_low,-0.892299617166846,Cluster1,phr1_phl1,low
AT3G22240,phr1_phl1_low_Pi,-0.34127679560684,Cluster1,phr1_phl1,low_Pi
AT3G22240,Col_0_low_Pi,-0.802573125546432,Cluster1,Col_0,low_Pi
AT3G22240,Col_0_low,1.42008844692667,Cluster1,Col_0,low
AT3G25250,phr1_phl1_low_Pi,-0.0216046513666536,Cluster1,phr1_phl1,low_Pi
AT3G25250,Col_0_low,1.65077687867696,Cluster1,Col_0,low
AT3G25250,Col_0_low_Pi,-0.969413989704256,Cluster1,Col_0,low_Pi
AT3G25250,phf1_low,-0.602704513715444,Cluster1,phf1,low
AT3G25250,phr1_phl1_low,-0.428679354764914,Cluster1,phr1_phl1,low
AT3G25250,phf1_low_Pi,-0.163212877289783,Cluster1,phf1,low_Pi
AT3G25730,phf1_low_Pi,-0.811972924792231,Cluster1,phf1,low_Pi
AT3G25730,phr1_phl1_low,-0.269144861978746,Cluster1,phr1_phl1,low
AT3G25730,Col_0_low,1.31251709129586,Cluster1,Col_0,low
AT3G25730,phr1_phl1_low_Pi,-1.49251440613361,Cluster1,phr1_phl1,low_Pi
AT3G25730,phf1_low,-0.208956244708023,Cluster1,phf1,low
AT3G25730,Col_0_low_Pi,0.172033719956028,Cluster1,Col_0,low_Pi
AT3G26210,phr1_phl1_low,-0.0831683008869312,Cluster1,phr1_phl1,low
AT3G26210,phf1_low_Pi,-0.402703461177824,Cluster1,phf1,low_Pi
AT3G26210,Col_0_low,1.37132520436651,Cluster1,Col_0,low
AT3G26210,phr1_phl1_low_Pi,-0.0347538205074661,Cluster1,phr1_phl1,low_Pi
AT3G26210,Col_0_low_Pi,-1.15247471849305,Cluster1,Col_0,low_Pi
AT3G26210,phf1_low,-0.268805226393228,Cluster1,phf1,low
AT3G26570,phf1_low,-0.0841618149852334,Cluster1,phf1,low
AT3G26570,Col_0_low_Pi,0.0276417081888848,Cluster1,Col_0,low_Pi
AT3G26570,phf1_low_Pi,-1.12744784136541,Cluster1,phf1,low_Pi
AT3G26570,phr1_phl1_low,0.180235643294705,Cluster1,phr1_phl1,low
AT3G26570,phr1_phl1_low_Pi,-1.57505441660404,Cluster1,phr1_phl1,low_Pi
AT3G26570,Col_0_low,1.22222694710779,Cluster1,Col_0,low
AT3G28510,phr1_phl1_low_Pi,-0.182616424128016,Cluster1,phr1_phl1,low_Pi
AT3G28510,phr1_phl1_low,-1.49500156004195,Cluster1,phr1_phl1,low
AT3G28510,Col_0_low,0.964662288068071,Cluster1,Col_0,low
AT3G28510,Col_0_low_Pi,-0.750338632323124,Cluster1,Col_0,low_Pi
AT3G28510,phf1_low,0.282516550587328,Cluster1,phf1,low
AT3G28510,phf1_low_Pi,0.465880146445988,Cluster1,phf1,low_Pi
AT3G44300,Col_0_low,1.55942242539039,Cluster1,Col_0,low
AT3G44300,phf1_low,-0.839332653813735,Cluster1,phf1,low
AT3G44300,Col_0_low_Pi,-0.747754021016329,Cluster1,Col_0,low_Pi
AT3G44300,phf1_low_Pi,-0.330770275415386,Cluster1,phf1,low_Pi
AT3G44300,phr1_phl1_low,-0.0365059136026534,Cluster1,phr1_phl1,low
AT3G44300,phr1_phl1_low_Pi,0.0697911053387594,Cluster1,phr1_phl1,low_Pi
AT3G47290,Col_0_low,1.5555566151918,Cluster1,Col_0,low
AT3G47290,phf1_low,-0.413959409626138,Cluster1,phf1,low
AT3G47290,phr1_phl1_low,-0.187415572455559,Cluster1,phr1_phl1,low
AT3G47290,phf1_low_Pi,-0.0510748741637131,Cluster1,phf1,low_Pi
AT3G47290,Col_0_low_Pi,-1.08486774057458,Cluster1,Col_0,low_Pi
AT3G47290,phr1_phl1_low_Pi,-0.778075242309278,Cluster1,phr1_phl1,low_Pi
AT3G47780,phf1_low,-0.0694608127502873,Cluster1,phf1,low
AT3G47780,phr1_phl1_low,-0.378118330473339,Cluster1,phr1_phl1,low
AT3G47780,phf1_low_Pi,-0.484552584507492,Cluster1,phf1,low_Pi
AT3G47780,phr1_phl1_low_Pi,-0.553379485892275,Cluster1,phr1_phl1,low_Pi
AT3G47780,Col_0_low,1.18598651209435,Cluster1,Col_0,low
AT3G47780,Col_0_low_Pi,-0.672872870427966,Cluster1,Col_0,low_Pi
AT3G53150,phf1_low,0.155500794804418,Cluster1,phf1,low
AT3G53150,phr1_phl1_low,-0.72699249359666,Cluster1,phr1_phl1,low
AT3G53150,phf1_low_Pi,-0.288440627779214,Cluster1,phf1,low_Pi
AT3G53150,Col_0_low_Pi,-1.11742032386931,Cluster1,Col_0,low_Pi
AT3G53150,Col_0_low,1.50490982470748,Cluster1,Col_0,low
AT3G53150,phr1_phl1_low_Pi,-0.715524968045303,Cluster1,phr1_phl1,low_Pi
AT3G53990,phf1_low,-0.456443175905738,Cluster1,phf1,low
AT3G53990,phf1_low_Pi,0.156812104546747,Cluster1,phf1,low_Pi
AT3G53990,phr1_phl1_low,-1.54200920553613,Cluster1,phr1_phl1,low
AT3G53990,Col_0_low,1.24173337890386,Cluster1,Col_0,low
AT3G53990,Col_0_low_Pi,-0.0348017326321899,Cluster1,Col_0,low_Pi
AT3G53990,phr1_phl1_low_Pi,0.484127058248762,Cluster1,phr1_phl1,low_Pi
AT3G60160,Col_0_low,1.57660876485428,Cluster1,Col_0,low
AT3G60160,phf1_low,-0.356264432919824,Cluster1,phf1,low
AT3G60160,phr1_phl1_low,-0.561135582737585,Cluster1,phr1_phl1,low
AT3G60160,phf1_low_Pi,-0.638356742214133,Cluster1,phf1,low_Pi
AT3G60160,Col_0_low_Pi,-0.24924353281682,Cluster1,Col_0,low_Pi
AT3G60160,phr1_phl1_low_Pi,-0.763561280266279,Cluster1,phr1_phl1,low_Pi
AT3G61400,phf1_low,-0.233212139206712,Cluster1,phf1,low
AT3G61400,phf1_low_Pi,-0.118477957710272,Cluster1,phf1,low_Pi
AT3G61400,phr1_phl1_low,-0.836972138236098,Cluster1,phr1_phl1,low
AT3G61400,Col_0_low,1.01781785672083,Cluster1,Col_0,low
AT3G61400,phr1_phl1_low_Pi,-0.330481962543613,Cluster1,phr1_phl1,low_Pi
AT3G61400,Col_0_low_Pi,-0.178766127607763,Cluster1,Col_0,low_Pi
AT3G63380,phr1_phl1_low,-0.697125032904424,Cluster1,phr1_phl1,low
AT3G63380,phr1_phl1_low_Pi,-0.175088136629666,Cluster1,phr1_phl1,low_Pi
AT3G63380,phf1_low,-0.115310841917635,Cluster1,phf1,low
AT3G63380,Col_0_low_Pi,-0.779426558550327,Cluster1,Col_0,low_Pi
AT3G63380,phf1_low_Pi,-0.48091484007421,Cluster1,phf1,low_Pi
AT3G63380,Col_0_low,1.46316983054644,Cluster1,Col_0,low
AT4G00755,phf1_low,-0.450366240113605,Cluster1,phf1,low
AT4G00755,Col_0_low,1.23140781166635,Cluster1,Col_0,low
AT4G00755,phr1_phl1_low,-0.370967967932471,Cluster1,phr1_phl1,low
AT4G00755,phf1_low_Pi,-0.52300543963163,Cluster1,phf1,low_Pi
AT4G00755,phr1_phl1_low_Pi,-0.191607506866804,Cluster1,phr1_phl1,low_Pi
AT4G00755,Col_0_low_Pi,-0.181785196331619,Cluster1,Col_0,low_Pi
AT4G01870,phf1_low,-0.438631515917761,Cluster1,phf1,low
AT4G01870,phf1_low_Pi,-0.622418812439486,Cluster1,phf1,low_Pi
AT4G01870,Col_0_low,1.61571840215012,Cluster1,Col_0,low
AT4G01870,phr1_phl1_low,-0.515405043066281,Cluster1,phr1_phl1,low
AT4G01870,Col_0_low_Pi,-0.148109182487793,Cluster1,Col_0,low_Pi
AT4G01870,phr1_phl1_low_Pi,-0.959394582709957,Cluster1,phr1_phl1,low_Pi
AT4G08780,phf1_low,0.403688445777525,Cluster1,phf1,low
AT4G08780,phf1_low_Pi,-0.522923150796183,Cluster1,phf1,low_Pi
AT4G08780,Col_0_low,1.10054297888521,Cluster1,Col_0,low
AT4G08780,phr1_phl1_low_Pi,-1.02403956462438,Cluster1,phr1_phl1,low_Pi
AT4G08780,phr1_phl1_low,-0.875981355162124,Cluster1,phr1_phl1,low
AT4G08780,Col_0_low_Pi,-0.345422848723601,Cluster1,Col_0,low_Pi
AT4G11290,phf1_low,-0.56040315045215,Cluster1,phf1,low
AT4G11290,phf1_low_Pi,-0.311043030364483,Cluster1,phf1,low_Pi
AT4G11290,phr1_phl1_low,-0.389801591350411,Cluster1,phr1_phl1,low
AT4G11290,Col_0_low_Pi,-0.577809951521885,Cluster1,Col_0,low_Pi
AT4G11290,Col_0_low,1.20524743865054,Cluster1,Col_0,low
AT4G11290,phr1_phl1_low_Pi,0.35794658123792,Cluster1,phr1_phl1,low_Pi
AT4G12030,phr1_phl1_low,-0.763135694954769,Cluster1,phr1_phl1,low
AT4G12030,phr1_phl1_low_Pi,-0.388522867519604,Cluster1,phr1_phl1,low_Pi
AT4G12030,phf1_low_Pi,-0.682272609529691,Cluster1,phf1,low_Pi
AT4G12030,Col_0_low_Pi,-0.963247582869786,Cluster1,Col_0,low_Pi
AT4G12030,phf1_low,0.738735439308512,Cluster1,phf1,low
AT4G12030,Col_0_low,0.996542774767521,Cluster1,Col_0,low
AT4G12400,phf1_low,-0.72158926627763,Cluster1,phf1,low
AT4G12400,Col_0_low,1.39103136584284,Cluster1,Col_0,low
AT4G12400,phr1_phl1_low,-0.131998902799945,Cluster1,phr1_phl1,low
AT4G12400,phf1_low_Pi,-0.759406574176668,Cluster1,phf1,low_Pi
AT4G12400,Col_0_low_Pi,0.358405278463504,Cluster1,Col_0,low_Pi
AT4G12400,phr1_phl1_low_Pi,-0.942325901669408,Cluster1,phr1_phl1,low_Pi
AT4G13180,phf1_low,-0.810495917685225,Cluster1,phf1,low
AT4G13180,phf1_low_Pi,-0.48710794467864,Cluster1,phf1,low_Pi
AT4G13180,phr1_phl1_low,-0.0490922729433303,Cluster1,phr1_phl1,low
AT4G13180,phr1_phl1_low_Pi,-0.649486979464473,Cluster1,phr1_phl1,low_Pi
AT4G13180,Col_0_low_Pi,-0.212295751933642,Cluster1,Col_0,low_Pi
AT4G13180,Col_0_low,1.52598889054379,Cluster1,Col_0,low
AT4G13310,phf1_low_Pi,0.312309752001799,Cluster1,phf1,low_Pi
AT4G13310,phr1_phl1_low_Pi,-0.292407240607961,Cluster1,phr1_phl1,low_Pi
AT4G13310,phf1_low,0.768179802648958,Cluster1,phf1,low
AT4G13310,phr1_phl1_low,-1.23969067709817,Cluster1,phr1_phl1,low
AT4G13310,Col_0_low_Pi,-1.21427483100145,Cluster1,Col_0,low_Pi
AT4G13310,Col_0_low,0.757059781618912,Cluster1,Col_0,low
AT4G15330,phf1_low,0.101825647023391,Cluster1,phf1,low
AT4G15330,Col_0_low_Pi,-0.730879211160169,Cluster1,Col_0,low_Pi
AT4G15330,phr1_phl1_low_Pi,-0.878284917125792,Cluster1,phr1_phl1,low_Pi
AT4G15330,phf1_low_Pi,-1.09957869582474,Cluster1,phf1,low_Pi
AT4G15330,phr1_phl1_low,0.276207449557061,Cluster1,phr1_phl1,low
AT4G15330,Col_0_low,1.22710296363711,Cluster1,Col_0,low
AT4G19760,Col_0_low_Pi,-0.336621833297788,Cluster1,Col_0,low_Pi
AT4G19760,phf1_low,-0.432153829728551,Cluster1,phf1,low
AT4G19760,phr1_phl1_low,-0.733888593891691,Cluster1,phr1_phl1,low
AT4G19760,phf1_low_Pi,-0.0215961562846024,Cluster1,phf1,low_Pi
AT4G19760,Col_0_low,1.16796476936236,Cluster1,Col_0,low
AT4G19760,phr1_phl1_low_Pi,-0.149126084663113,Cluster1,phr1_phl1,low_Pi
AT4G21680,phf1_low,-0.493931825212439,Cluster1,phf1,low
AT4G21680,phf1_low_Pi,-0.901618557236576,Cluster1,phf1,low_Pi
AT4G21680,Col_0_low,1.43524037849934,Cluster1,Col_0,low
AT4G21680,phr1_phl1_low_Pi,-0.528528694472954,Cluster1,phr1_phl1,low_Pi
AT4G21680,phr1_phl1_low,-0.327300032677549,Cluster1,phr1_phl1,low
AT4G21680,Col_0_low_Pi,0.0812201072202571,Cluster1,Col_0,low_Pi
AT4G28040,phf1_low,-0.522584513759298,Cluster1,phf1,low
AT4G28040,phr1_phl1_low_Pi,0.310030014713343,Cluster1,phr1_phl1,low_Pi
AT4G28040,phf1_low_Pi,-0.218556614675885,Cluster1,phf1,low_Pi
AT4G28040,phr1_phl1_low,-0.781970633232911,Cluster1,phr1_phl1,low
AT4G28040,Col_0_low_Pi,-0.595251270447953,Cluster1,Col_0,low_Pi
AT4G28040,Col_0_low,1.48309352109269,Cluster1,Col_0,low
AT4G29690,phf1_low,0.465147195800448,Cluster1,phf1,low
AT4G29690,Col_0_low,0.915483707535602,Cluster1,Col_0,low
AT4G29690,phr1_phl1_low,-1.19413664763475,Cluster1,phr1_phl1,low
AT4G29690,phf1_low_Pi,-1.06556611858934,Cluster1,phf1,low_Pi
AT4G29690,Col_0_low_Pi,0.469809303126891,Cluster1,Col_0,low_Pi
AT4G29690,phr1_phl1_low_Pi,-0.562105783813741,Cluster1,phr1_phl1,low_Pi
AT4G33720,Col_0_low_Pi,-0.370514719432014,Cluster1,Col_0,low_Pi
AT4G33720,phf1_low,-0.263740403829488,Cluster1,phf1,low
AT4G33720,Col_0_low,1.4122710979747,Cluster1,Col_0,low
AT4G33720,phr1_phl1_low_Pi,-0.0398644991114846,Cluster1,phr1_phl1,low_Pi
AT4G33720,phr1_phl1_low,-1.47107311156702,Cluster1,phr1_phl1,low
AT4G33720,phf1_low_Pi,0.138724039336956,Cluster1,phf1,low_Pi
AT4G34870,Col_0_low_Pi,0.655664760874732,Cluster1,Col_0,low_Pi
AT4G34870,phf1_low,-0.370636163232037,Cluster1,phf1,low
AT4G34870,Col_0_low,1.3284041838078,Cluster1,Col_0,low
AT4G34870,phr1_phl1_low_Pi,-0.695218210986053,Cluster1,phr1_phl1,low_Pi
AT4G34870,phf1_low_Pi,-0.826672791048504,Cluster1,phf1,low_Pi
AT4G34870,phr1_phl1_low,-0.918034895196851,Cluster1,phr1_phl1,low
AT4G36870,phf1_low,-0.0216977912626042,Cluster1,phf1,low
AT4G36870,Col_0_low_Pi,-0.792596681550625,Cluster1,Col_0,low_Pi
AT4G36870,phf1_low_Pi,-0.675933959611464,Cluster1,phf1,low_Pi
AT4G36870,phr1_phl1_low,-0.457503448682751,Cluster1,phr1_phl1,low
AT4G36870,Col_0_low,1.42803535146121,Cluster1,Col_0,low
AT4G36870,phr1_phl1_low_Pi,-0.465552172365512,Cluster1,phr1_phl1,low_Pi
AT4G36880,phf1_low_Pi,-0.58298613740572,Cluster1,phf1,low_Pi
AT4G36880,phf1_low,-0.490035498054961,Cluster1,phf1,low
AT4G36880,phr1_phl1_low,-0.408304870608983,Cluster1,phr1_phl1,low
AT4G36880,Col_0_low_Pi,-0.366647502793284,Cluster1,Col_0,low_Pi
AT4G36880,phr1_phl1_low_Pi,-0.0699573471133815,Cluster1,phr1_phl1,low_Pi
AT4G36880,Col_0_low,1.3355621645926,Cluster1,Col_0,low
AT4G37520,phf1_low,-0.409433977405348,Cluster1,phf1,low
AT4G37520,phr1_phl1_low,0.417712555273376,Cluster1,phr1_phl1,low
AT4G37520,phr1_phl1_low_Pi,-0.752181043764541,Cluster1,phr1_phl1,low_Pi
AT4G37520,Col_0_low,1.49967541878694,Cluster1,Col_0,low
AT4G37520,Col_0_low_Pi,-1.06005065204816,Cluster1,Col_0,low_Pi
AT4G37520,phf1_low_Pi,-0.616933543415326,Cluster1,phf1,low_Pi
AT5G06740,phr1_phl1_low,-1.33615960906452,Cluster1,phr1_phl1,low
AT5G06740,phr1_phl1_low_Pi,0.178559318719446,Cluster1,phr1_phl1,low_Pi
AT5G06740,Col_0_low,1.31035315813791,Cluster1,Col_0,low
AT5G06740,phf1_low_Pi,-0.397843375795592,Cluster1,phf1,low_Pi
AT5G06740,Col_0_low_Pi,-0.633168246900789,Cluster1,Col_0,low_Pi
AT5G06740,phf1_low,0.208241223462877,Cluster1,phf1,low
AT5G06860,Col_0_low_Pi,-0.0287263981137932,Cluster1,Col_0,low_Pi
AT5G06860,phr1_phl1_low_Pi,-0.642235118207545,Cluster1,phr1_phl1,low_Pi
AT5G06860,phf1_low_Pi,-0.65377892372438,Cluster1,phf1,low_Pi
AT5G06860,phf1_low,0.0254248742499149,Cluster1,phf1,low
AT5G06860,phr1_phl1_low,-0.832683916478141,Cluster1,phr1_phl1,low
AT5G06860,Col_0_low,1.19877965736348,Cluster1,Col_0,low
AT5G08610,phf1_low,-0.141740290026971,Cluster1,phf1,low
AT5G08610,phr1_phl1_low,0.018471172094753,Cluster1,phr1_phl1,low
AT5G08610,phf1_low_Pi,-0.781424593024005,Cluster1,phf1,low_Pi
AT5G08610,Col_0_low,1.40268741704948,Cluster1,Col_0,low
AT5G08610,phr1_phl1_low_Pi,-0.578266262227364,Cluster1,phr1_phl1,low_Pi
AT5G08610,Col_0_low_Pi,-0.839334138490834,Cluster1,Col_0,low_Pi
AT5G10740,phr1_phl1_low,-0.694319134834529,Cluster1,phr1_phl1,low
AT5G10740,Col_0_low,1.34391944106095,Cluster1,Col_0,low
AT5G10740,phf1_low,0.202243330127602,Cluster1,phf1,low
AT5G10740,phr1_phl1_low_Pi,-0.238280725327558,Cluster1,phr1_phl1,low_Pi
AT5G10740,phf1_low_Pi,-0.060662400200329,Cluster1,phf1,low_Pi
AT5G10740,Col_0_low_Pi,-1.44512225908419,Cluster1,Col_0,low_Pi
AT5G13210,phr1_phl1_low,-0.554840873722696,Cluster1,phr1_phl1,low
AT5G13210,phf1_low,-0.222374458960704,Cluster1,phf1,low
AT5G13210,phr1_phl1_low_Pi,-0.516707366994616,Cluster1,phr1_phl1,low_Pi
AT5G13210,Col_0_low,1.55421190293371,Cluster1,Col_0,low
AT5G13210,phf1_low_Pi,-0.635272177499997,Cluster1,phf1,low_Pi
AT5G13210,Col_0_low_Pi,-0.549289431239504,Cluster1,Col_0,low_Pi
AT5G14730,phf1_low_Pi,0.264157259902317,Cluster1,phf1,low_Pi
AT5G14730,phr1_phl1_low_Pi,-0.138670365445077,Cluster1,phr1_phl1,low_Pi
AT5G14730,phr1_phl1_low,-0.773962204428923,Cluster1,phr1_phl1,low
AT5G14730,phf1_low,-0.228000063918698,Cluster1,phf1,low
AT5G14730,Col_0_low_Pi,-1.09791091955543,Cluster1,Col_0,low_Pi
AT5G14730,Col_0_low,1.34603409512175,Cluster1,Col_0,low
AT5G17860,Col_0_low,1.19649501073587,Cluster1,Col_0,low
AT5G17860,phr1_phl1_low,-0.945457247619756,Cluster1,phr1_phl1,low
AT5G17860,phf1_low_Pi,-0.945457247619756,Cluster1,phf1,low_Pi
AT5G17860,phr1_phl1_low_Pi,0.0523580209030585,Cluster1,phr1_phl1,low_Pi
AT5G17860,Col_0_low_Pi,0.217279038705069,Cluster1,Col_0,low_Pi
AT5G17860,phf1_low,-0.100100689219706,Cluster1,phf1,low
AT5G19890,phr1_phl1_low_Pi,0.210052355011365,Cluster1,phr1_phl1,low_Pi
AT5G19890,phr1_phl1_low,-0.888668043661365,Cluster1,phr1_phl1,low
AT5G19890,phf1_low,-0.38301865698046,Cluster1,phf1,low
AT5G19890,Col_0_low_Pi,-0.12848780543847,Cluster1,Col_0,low_Pi
AT5G19890,Col_0_low,1.178326535158,Cluster1,Col_0,low
AT5G19890,phf1_low_Pi,-0.280832145672151,Cluster1,phf1,low_Pi
AT5G22790,phf1_low_Pi,-1.43191954210317,Cluster1,phf1,low_Pi
AT5G22790,phr1_phl1_low,-0.0153814485733404,Cluster1,phr1_phl1,low
AT5G22790,Col_0_low,1.0632757622013,Cluster1,Col_0,low
AT5G22790,phr1_phl1_low_Pi,-1.33895884778874,Cluster1,phr1_phl1,low_Pi
AT5G22790,phf1_low,0.237501618821472,Cluster1,phf1,low
AT5G22790,Col_0_low_Pi,0.165614343036735,Cluster1,Col_0,low_Pi
AT5G23010,phr1_phl1_low_Pi,-0.247366913069079,Cluster1,phr1_phl1,low_Pi
AT5G23010,phr1_phl1_low,-0.85372997448028,Cluster1,phr1_phl1,low
AT5G23010,Col_0_low_Pi,-1.33655212114448,Cluster1,Col_0,low_Pi
AT5G23010,Col_0_low,1.16290073036304,Cluster1,Col_0,low
AT5G23010,phf1_low_Pi,-0.217333533937167,Cluster1,phf1,low_Pi
AT5G23010,phf1_low,0.524631993701278,Cluster1,phf1,low
AT5G23810,phf1_low_Pi,-0.0985807514236986,Cluster1,phf1,low_Pi
AT5G23810,Col_0_low_Pi,-0.204779419266938,Cluster1,Col_0,low_Pi
AT5G23810,phr1_phl1_low_Pi,0.177170562992589,Cluster1,phr1_phl1,low_Pi
AT5G23810,phr1_phl1_low,-1.35770488387086,Cluster1,phr1_phl1,low
AT5G23810,phf1_low,-0.306423359212375,Cluster1,phf1,low
AT5G23810,Col_0_low,1.35474320792251,Cluster1,Col_0,low
AT5G24280,phf1_low_Pi,-0.506718690549657,Cluster1,phf1,low_Pi
AT5G24280,phf1_low,0.14163670745058,Cluster1,phf1,low
AT5G24280,phr1_phl1_low,-1.36782330818347,Cluster1,phr1_phl1,low
AT5G24280,phr1_phl1_low_Pi,-0.398093548367204,Cluster1,phr1_phl1,low_Pi
AT5G24280,Col_0_low,1.47109414706951,Cluster1,Col_0,low
AT5G24280,Col_0_low_Pi,-0.345507508863401,Cluster1,Col_0,low_Pi
AT5G24930,phr1_phl1_low,-0.0963205629456155,Cluster1,phr1_phl1,low
AT5G24930,phf1_low_Pi,-0.49325257563342,Cluster1,phf1,low_Pi
AT5G24930,phr1_phl1_low_Pi,-0.521171657731031,Cluster1,phr1_phl1,low_Pi
AT5G24930,Col_0_low,1.36607737794393,Cluster1,Col_0,low
AT5G24930,Col_0_low_Pi,-0.115291959203805,Cluster1,Col_0,low_Pi
AT5G24930,phf1_low,-0.722443426845026,Cluster1,phf1,low
AT5G25250,Col_0_low_Pi,-0.720027190228967,Cluster1,Col_0,low_Pi
AT5G25250,phr1_phl1_low,-0.284978919886891,Cluster1,phr1_phl1,low
AT5G25250,Col_0_low,1.42084460466139,Cluster1,Col_0,low
AT5G25250,phf1_low,-0.251299403350673,Cluster1,phf1,low
AT5G25250,phr1_phl1_low_Pi,-1.12414105638971,Cluster1,phr1_phl1,low_Pi
AT5G25250,phf1_low_Pi,-0.18724116365536,Cluster1,phf1,low_Pi
AT5G38200,phr1_phl1_low_Pi,-0.206980316897317,Cluster1,phr1_phl1,low_Pi
AT5G38200,Col_0_low,1.08822921609644,Cluster1,Col_0,low
AT5G38200,phr1_phl1_low,-1.00763372159471,Cluster1,phr1_phl1,low
AT5G38200,phf1_low,0.309446766784003,Cluster1,phf1,low
AT5G38200,Col_0_low_Pi,-1.28174010412734,Cluster1,Col_0,low_Pi
AT5G38200,phf1_low_Pi,0.296350009850038,Cluster1,phf1,low_Pi
AT5G38540,phr1_phl1_low_Pi,-0.873170357424761,Cluster1,phr1_phl1,low_Pi
AT5G38540,phr1_phl1_low,-1.43862146364897,Cluster1,phr1_phl1,low
AT5G38540,Col_0_low_Pi,-0.632738150537512,Cluster1,Col_0,low_Pi
AT5G38540,phf1_low_Pi,0.28194507201749,Cluster1,phf1,low_Pi
AT5G38540,Col_0_low,0.985228288273039,Cluster1,Col_0,low
AT5G38540,phf1_low,0.498771525647878,Cluster1,phf1,low
AT5G38550,phf1_low_Pi,0.282668029201048,Cluster1,phf1,low_Pi
AT5G38550,Col_0_low,1.06185770428567,Cluster1,Col_0,low
AT5G38550,phr1_phl1_low_Pi,-0.149423928185752,Cluster1,phr1_phl1,low_Pi
AT5G38550,phf1_low,0.271499749377879,Cluster1,phf1,low
AT5G38550,phr1_phl1_low,-1.57521998932732,Cluster1,phr1_phl1,low
AT5G38550,Col_0_low_Pi,-0.63277225627617,Cluster1,Col_0,low_Pi
AT5G40010,Col_0_low,1.11901565180178,Cluster1,Col_0,low
AT5G40010,phr1_phl1_low_Pi,-0.0641141709584151,Cluster1,phr1_phl1,low_Pi
AT5G40010,phr1_phl1_low,-1.45414657776624,Cluster1,phr1_phl1,low
AT5G40010,phf1_low,0.211126436875224,Cluster1,phf1,low
AT5G40010,Col_0_low_Pi,-0.739370442263259,Cluster1,Col_0,low_Pi
AT5G40010,phf1_low_Pi,0.2303609724932,Cluster1,phf1,low_Pi
AT5G41610,Col_0_low_Pi,-0.318983205804504,Cluster1,Col_0,low_Pi
AT5G41610,phr1_phl1_low,-1.08557278063126,Cluster1,phr1_phl1,low
AT5G41610,phf1_low,-0.361087685542254,Cluster1,phf1,low
AT5G41610,phr1_phl1_low_Pi,0.102191408127809,Cluster1,phr1_phl1,low_Pi
AT5G41610,Col_0_low,1.4670891585171,Cluster1,Col_0,low
AT5G41610,phf1_low_Pi,-0.305541927090412,Cluster1,phf1,low_Pi
AT5G42980,phf1_low,0.648985226259572,Cluster1,phf1,low
AT5G42980,phf1_low_Pi,-0.107055782713861,Cluster1,phf1,low_Pi
AT5G42980,Col_0_low_Pi,0.0493471978682622,Cluster1,Col_0,low_Pi
AT5G42980,phr1_phl1_low,-1.76086101233029,Cluster1,phr1_phl1,low
AT5G42980,Col_0_low,0.754036372054204,Cluster1,Col_0,low
AT5G42980,phr1_phl1_low_Pi,-0.434310666759867,Cluster1,phr1_phl1,low_Pi
AT5G43330,phr1_phl1_low,-0.231918111298464,Cluster1,phr1_phl1,low
AT5G43330,phr1_phl1_low_Pi,-0.816390601332241,Cluster1,phr1_phl1,low_Pi
AT5G43330,Col_0_low,1.53307252338771,Cluster1,Col_0,low
AT5G43330,phf1_low,-0.33302306451663,Cluster1,phf1,low
AT5G43330,Col_0_low_Pi,-0.212281029991641,Cluster1,Col_0,low_Pi
AT5G43330,phf1_low_Pi,-0.947679746350395,Cluster1,phf1,low_Pi
AT5G43450,phr1_phl1_low,-0.283074584534893,Cluster1,phr1_phl1,low
AT5G43450,Col_0_low,1.57233058808734,Cluster1,Col_0,low
AT5G43450,phr1_phl1_low_Pi,-0.618477485147751,Cluster1,phr1_phl1,low_Pi
AT5G43450,Col_0_low_Pi,-0.606152902396771,Cluster1,Col_0,low_Pi
AT5G43450,phf1_low,-0.19337096737263,Cluster1,phf1,low
AT5G43450,phf1_low_Pi,-0.869973201566521,Cluster1,phf1,low_Pi
AT5G45380,phf1_low,-0.410242935106386,Cluster1,phf1,low
AT5G45380,phr1_phl1_low_Pi,-0.653219483597115,Cluster1,phr1_phl1,low_Pi
AT5G45380,phr1_phl1_low,0.0935942217514499,Cluster1,phr1_phl1,low
AT5G45380,phf1_low_Pi,-0.236321118045328,Cluster1,phf1,low_Pi
AT5G45380,Col_0_low,0.973592237289625,Cluster1,Col_0,low
AT5G45380,Col_0_low_Pi,-0.57893176228289,Cluster1,Col_0,low_Pi
AT5G47110,phf1_low,-0.819557117880309,Cluster1,phf1,low
AT5G47110,Col_0_low_Pi,-0.322459595293282,Cluster1,Col_0,low_Pi
AT5G47110,phf1_low_Pi,-1.03521085116215,Cluster1,phf1,low_Pi
AT5G47110,phr1_phl1_low_Pi,0.134382425527202,Cluster1,phr1_phl1,low_Pi
AT5G47110,phr1_phl1_low,0.605372034647083,Cluster1,phr1_phl1,low
AT5G47110,Col_0_low,1.27629525057681,Cluster1,Col_0,low
AT5G47220,phr1_phl1_low,-0.958640882158564,Cluster1,phr1_phl1,low
AT5G47220,phr1_phl1_low_Pi,-0.0214294197625256,Cluster1,phr1_phl1,low_Pi
AT5G47220,Col_0_low,1.2053253437772,Cluster1,Col_0,low
AT5G47220,Col_0_low_Pi,-0.990880572541931,Cluster1,Col_0,low_Pi
