Gene,group,value,Cluster,Genotype,Phosphate
AT1G19250,phr1_phl1_low_Pi,-0.158259432717178,Cluster1,phr1_phl1,low_Pi
AT1G19250,phf1_low,0.0787783660548425,Cluster1,phf1,low
AT1G19250,Col_0_low_Pi,-0.804957570978809,Cluster1,Col_0,low_Pi
AT1G19250,Col_0_low,1.01813096739466,Cluster1,Col_0,low
AT1G19250,phf1_low_Pi,-0.253344498908307,Cluster1,phf1,low_Pi
AT1G23190,Col_0_low,1.29512052182496,Cluster1,Col_0,low
AT1G23190,phr1_phl1_low_Pi,-0.986119750746735,Cluster1,phr1_phl1,low_Pi
AT1G23190,Col_0_low_Pi,0.63360986531632,Cluster1,Col_0,low_Pi
AT1G23190,phr1_phl1_low,-0.889338207844283,Cluster1,phr1_phl1,low
AT1G23190,phf1_low,-0.114002723166329,Cluster1,phf1,low
AT1G23190,phf1_low_Pi,-1.02288848008662,Cluster1,phf1,low_Pi
AT1G31290,phf1_low,-0.557660228962492,Cluster1,phf1,low
AT1G31290,phr1_phl1_low,-0.793880288176952,Cluster1,phr1_phl1,low
AT1G31290,phf1_low_Pi,-0.0918471310733317,Cluster1,phf1,low_Pi
AT1G31290,Col_0_low_Pi,-0.383253663936746,Cluster1,Col_0,low_Pi
AT1G31290,Col_0_low,1.59361487005612,Cluster1,Col_0,low
AT1G31290,phr1_phl1_low_Pi,-0.569901756906816,Cluster1,phr1_phl1,low_Pi
AT1G52880,phf1_low_Pi,-0.563639065569079,Cluster1,phf1,low_Pi
AT1G52880,phr1_phl1_low_Pi,-1.5697589576669,Cluster1,phr1_phl1,low_Pi
AT1G52880,phf1_low,-0.226661384577116,Cluster1,phf1,low
AT1G52880,phr1_phl1_low,0.00689480325321282,Cluster1,phr1_phl1,low
AT1G52880,Col_0_low_Pi,-0.632033956167262,Cluster1,Col_0,low_Pi
AT1G52880,Col_0_low,1.54243318278817,Cluster1,Col_0,low
AT1G61560,phf1_low,0.162279912837731,Cluster1,phf1,low
AT1G61560,phr1_phl1_low,-0.764618953414115,Cluster1,phr1_phl1,low
AT1G61560,phf1_low_Pi,-0.407558888273523,Cluster1,phf1,low_Pi
AT1G61560,Col_0_low_Pi,-1.0964978064811,Cluster1,Col_0,low_Pi
AT1G61560,phr1_phl1_low_Pi,0.267394286053021,Cluster1,phr1_phl1,low_Pi
AT1G61560,Col_0_low,1.26103909059042,Cluster1,Col_0,low
AT1G62380,phf1_low_Pi,-0.261679273938269,Cluster1,phf1,low_Pi
AT1G62380,phr1_phl1_low_Pi,-0.356110752096968,Cluster1,phr1_phl1,low_Pi
AT1G62380,phr1_phl1_low,-1.04193841328185,Cluster1,phr1_phl1,low
AT1G62380,Col_0_low_Pi,-0.193403009005113,Cluster1,Col_0,low_Pi
