Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,USeq
Agar,SC,P76Plate2Phosphate,Pi,Rep1,10 micromolar Pi,b11,Plate2PhosphateB11,Agar_SC,Agar_SC_10P,8293,9.0231670644512,10,0.00566743036295671
Agar,SC,P87Plate3Phosphate,Pi,Rep2,10 micromolar Pi,a3,Plate3PhosphateA3,Agar_SC,Agar_SC_10P,4350,8.37793112408273,10,0.0282758620689655
Agar,SC,P32Plate3Phosphate,Pi,Rep2,10 micromolar Pi,c3,Plate3PhosphateC3,Agar_SC,Agar_SC_10P,4501,8.41205487329293,10,0.030437680515441
Agar,SC,P64Plate3Phosphate,Pi,Rep1,10 micromolar Pi,f3,Plate3PhosphateF3,Agar_SC,Agar_SC_10P,5427,8.5991417740634,10,0.0259812050856827
Agar,SC,P26Plate3Phosphate,Pi,Rep2,10 micromolar Pi,h3,Plate3PhosphateH3,Agar_SC,Agar_SC_10P,5392,8.59267165259214,10,0.0424703264094956
Root,SC,P4Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a1,Plate1PhosphateA1,Root_SC,Root_SC_10P,22372,10.0155654559415,10,0.0220811728946898
Root,SC,P42Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a5,Plate1PhosphateA5,Root_SC,Root_SC_10P,22176,10.0067659019896,10,0.0159181096681097
Root,SC,P25Plate1Phosphate,Pi,Rep1,10 micromolar Pi,d2,Plate1PhosphateD2,Root_SC,Root_SC_10P,28255,10.2490257120639,10,0.0176605910458326
Root,SC,P33Plate1Phosphate,Pi,Rep2,10 micromolar Pi,g2,Plate1PhosphateG2,Root_SC,Root_SC_10P,9639,9.17357264778397,10,0.0209565307604523
Root,SC,P58Plate2Phosphate,Pi,Rep2,10 micromolar Pi,d8,Plate2PhosphateD8,Root_SC,Root_SC_10P,11808,9.37653254684025,10,0.0233739837398374
Root,SC,P19Plate2Phosphate,Pi,Rep2,10 micromolar Pi,f10,Plate2PhosphateF10,Root_SC,Root_SC_10P,7143,8.87388813515497,10,0.0219795604087918
Shoot,SC,P12Plate1Phosphate,Pi,Rep2,10 micromolar Pi,d4,Plate1PhosphateD4,Shoot_SC,Shoot_SC_10P,8873,9.09076823683534,10,0.0130733686464555
Shoot,SC,P6Plate1Phosphate,Pi,Rep2,10 micromolar Pi,f1,Plate1PhosphateF1,Shoot_SC,Shoot_SC_10P,19822,9.89454771096665,10,0.0138230249218041
Shoot,SC,P19Plate1Phosphate,Pi,Rep1,10 micromolar Pi,f10,Plate1PhosphateF10,Shoot_SC,Shoot_SC_10P,23564,10.0674754026416,10,0.0154897300967578
Shoot,SC,P32Plate2Phosphate,Pi,Rep1,10 micromolar Pi,c3,Plate2PhosphateC3,Shoot_SC,Shoot_SC_10P,6818,8.82732145269785,10,0.0132003520093869
Shoot,SC,P22Plate2Phosphate,Pi,Rep2,10 micromolar Pi,d7,Plate2PhosphateD7,Shoot_SC,Shoot_SC_10P,7013,8.85552084853691,10,0.0148296021674034
Shoot,SC,P88Plate2Phosphate,Pi,Rep1,10 micromolar Pi,h4,Plate2PhosphateH4,Shoot_SC,Shoot_SC_10P,5965,8.69366433453202,10,0.00955574182732607
Agar,NP,P65Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a9,Plate1PhosphateA9,Agar_NP,Agar_NP_30P,15740,9.66396052197139,30,0.0367852604828462
Agar,NP,P94Plate1Phosphate,Pi,Rep1,30 micromolar Pi,f2,Plate1PhosphateF2,Agar_NP,Agar_NP_30P,22908,10.0392414735137,30,0.0169809673476515
Agar,NP,P80Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f4,Plate1PhosphateF4,Agar_NP,Agar_NP_30P,21413,9.97175349320622,30,0.0239574090505768
Agar,NP,P1Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g3,Plate1PhosphateG3,Agar_NP,Agar_NP_30P,16323,9.70033043515403,30,0.00863811799301599
Agar,NP,P93Plate2Phosphate,Pi,Rep1,30 micromolar Pi,e5,Plate2PhosphateE5,Agar_NP,Agar_NP_30P,3696,8.21500643276157,30,0.00730519480519481
