ASV_Id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Kingdom	Phylum	Class	Order	Family	Genus
ASV1005	6.36868217685011	32.8471913907995	1.85317154518758	17.7248520117304	2.69621777840054e-70	2.52660116906843e-67	Root-Shoot	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella
ASV1005	6.36868217685011	0	2.79968025117975	0	1	1	Shoot-Soil	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella
ASV1005	6.36868217685011	22.5894199816748	2.77758903269395	8.13274379895055	4.19681008931442e-16	1.27612738644994e-14	Root-Soil	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella
ASV1007	8.0201804080053	0.570654366891651	1.29224090089183	0.441600607516616	0.658778244309025	0.799751047266215	Shoot-Soil	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA
ASV1007	8.0201804080053	0.0466855751918911	0.862330429648613	0.0541388469973335	0.956824542187995	0.996861649531865	Root-Shoot	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA
ASV1007	8.0201804080053	0.617339942083542	1.28621563188286	0.479966132257181	0.631251475396666	0.780021602540019	Root-Soil	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA
ASV1008	6.83131679402474	-1.63506215542405	1.98629471291841	-0.823171981876594	0.410410199499105	0.600157233144669	Shoot-Soil	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA
ASV1008	6.83131679402474	-1.07966263844298	1.32978963674409	-0.811904837133841	0.416846238657461	0.605872959402299	Root-Shoot	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA
ASV1008	6.83131679402474	-2.71472479386703	1.97875224069703	-1.37193769792561	0.170082833565811	0.338850763122608	Root-Soil	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA
ASV1009	9.14165519859748	1.35583932890895	2.58212964592169	0.525085690817426	0.599523622889307	0.753299416946602	Shoot-Soil	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus
ASV1009	9.14165519859748	-2.62264217407197	2.57581193011317	-1.01818076988126	0.308592056450438	0.502363695181794	Root-Soil	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus
ASV1009	9.14165519859748	-3.97848150298092	1.73110807855785	-2.29822825753046	0.0215488012177333	0.0717689961073975	Root-Shoot	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus
ASV101	75.0009883510386	6.68472734651035	0.929748378554252	7.18982415103001	6.48748227037364e-13	1.42586284100238e-11	Root-Soil	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA
ASV101	75.0009883510386	0.338540018792281	0.597755235391785	0.566352243774816	0.571154352115601	0.731088918615127	Root-Shoot	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA
ASV101	75.0009883510386	6.34618732771807	0.933681564131922	6.79695045025158	1.06856828079745e-11	2.03225126170851e-10	Shoot-Soil	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA
ASV1010	4.81746756502701	-5.32876720014914	1.75884320798295	-3.02969996186311	0.00244796794993258	0.0117256754776511	Shoot-Soil	Bacteria	Rokubacteria	NC10	Rokubacteriales	NA	NA
ASV1010	4.81746756502701	-5.2039870412626	1.74995455331976	-2.97378410850175	0.00294151954906809	0.013560457742305	Root-Soil	Bacteria	Rokubacteria	NC10	Rokubacteriales	NA	NA
ASV1010	4.81746756502701	0.124780158886543	1.19369457387072	0.104532735272413	0.916746591580507	0.973509769665601	Root-Shoot	Bacteria	Rokubacteria	NC10	Rokubacteriales	NA	NA
ASV1011	7.85602404797453	-0.404003350856594	1.07763075016436	-0.374899612687347	0.707735127126864	0.834864329749416	Shoot-Soil	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
ASV1011	7.85602404797453	4.39570596053073	0.70979021107449	6.1929650366359	5.90428299791415e-10	9.11098041055375e-09	Root-Shoot	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
ASV1011	7.85602404797453	3.99170260967413	1.05248463282902	3.79264692819759	0.000149050006929358	0.00099251128645208	Root-Soil	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
ASV1012	6.41387145915519	1.58162199282104	1.97028138163987	0.802739145565421	0.422125522040161	0.610618843838056	Shoot-Soil	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA
ASV1012	6.41387145915519	2.34969563200872	1.30131670308724	1.80562934943839	0.0709762550686207	0.181589286981222	Root-Shoot	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA
ASV1012	6.41387145915519	3.93131762482976	1.95621732892248	2.00965279609051	0.0444679492092893	0.127114703396937	Root-Soil	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA
ASV1014	7.19587653582887	19.6772614884129	2.61661778639284	7.52011302175668	5.47289102704243e-14	1.3626705484723e-12	Shoot-Soil	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon
ASV1014	7.19587653582887	23.025887504523	2.59985569693978	8.85660213050523	8.24903104261109e-19	3.11468908378151e-17	Root-Soil	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon
ASV1014	7.19587653582887	3.34862601611006	1.72445785213229	1.94184277219039	0.0521561371167593	0.143981109105398	Root-Shoot	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon
ASV1015	7.78254023292602	19.5142022474743	3.29663222807679	5.91943562320224	3.23048257349613e-09	4.48180543305493e-08	Shoot-Soil	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
