Useq,Freezer_Id,taxon_oid,Genome_Name,Genome_Classification
USeq81,MF349,2643221497,Variovorax paradoxus 349MFTsu5.1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
USeq81,MF349_2,2643221497,Variovorax paradoxus 349MFTsu5.1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
USeq81,MF369,2643221499,Variovorax paradoxus 369MFTsu5.1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
USeq81,MF369_2,2643221499,Variovorax paradoxus 369MFTsu5.1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
USeq81,MF4,2517572245,Variovorax paradoxus 4MFCol3.1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
USeq82,MF3,2513237142,Pseudomonas sp. BZ64,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq83,MF279,2590828858,Caulobacter sp. UNC279MFTsu5.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter
USeq84,MF40,2563366720,Flavobacterium sp. 40S8,k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium
USeq85,MF363,2563366512,Rhodococcus sp. UNC363MFTsu5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
USeq86,CL147,2639762526,Leifsonia sp. CL147,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq86,MF109,2522572063,Leifsonia sp. 109,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq86,MF115A,2639763198,Leifsonia sp. 115AMFTsu3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq86,MF137_27f,NA,NA,NA
