Useq,Freezer_Id,taxon_oid,Genome_Name,Genome_Classification
USeq30,MF384_4,2546825545,Burkholderia MF384,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq30,MF384_5,2546825545,Burkholderia MF384,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq31,MF259,2643221491,Rhodococcus maanshanensis 259MFSha1.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
USeq32,CL20,2595698215,Curtobacterium sp. UNCCL20,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium
USeq33,MF103,2636416172,Bacillus sp. 103MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq33,MF123,2521172627,Bacillus sp. 123MFChir2,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq34,CL63,2643221510,Arthrobacter sp. CL63Tsu,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
USeq34,MF131,2517572122,Arthrobacter sp. 131MFCol6.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
USeq34,MF49,2519899654,Arthrobacter sp. 49Tsu3.1M3,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
USeq34,MF9,2556921097,Arthrobacter sp. 9MFCol3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
USeq35,CL19,2579779168,Bosea sp. UNC402CLCol,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bosea
USeq36,MF261,2548877166,Mycobacterium mucogenicum 261Sha1.1M5,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq37,MF303,2521172626,Streptomyces sp. 303MFCol5.2,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
USeq38,MF181,2639762524,Paenibacillus sp. 181MFCol5.1,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq39,CL32,2643221509,Agrobacterium tumefaciens CL32Tsu,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq39,CL32_2,2643221509,Agrobacterium tumefaciens CL32Tsu,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq39,CL32_27f,2643221509,Agrobacterium tumefaciens CL32Tsu,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq39,CL41,2529292583,Agrobacterium sp. UNC420CL41Cvi,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq39,CL41_27F,2529292583,Agrobacterium sp. UNC420CL41Cvi,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq39,MF10,2521172663,Agrobacterium sp. 10MFCol1.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq39,MF224,2521172624,Agrobacterium sp. 224MFTsu3.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq39,MF224_27f,2521172624,Agrobacterium sp. 224MFTsu3.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq39,MF389,2521172559,Agrobacterium sp. 719_389,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq39,MF389_27F,2521172559,Agrobacterium sp. 719_389,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq40,CL144_2,2596583598,Ralstonia sp. UNCCL144,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Ralstoniaceae;g__Ralstonia
USeq40,CL21,2558309150,Ralstonia sp. UNC404CL21Col,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Ralstoniaceae;g__Ralstonia
USeq41,CL72_27F,2529292578,Bacillus sp. UNC437CL72CviS29,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq42,CL2,2565956514,Ochrobactrum sp. UNC390CL2Tsu3S39,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum
USeq42,MF370,2643221500,Ochrobactrum sp. 370MFChir3.1Proteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum
USeq43,CL115,2639762527,Bacillus sp. CL115,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq43,CL25,2639762622,Bacillus sp. CL25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq43,CL73,2528768222,Bacillus sp. UNC438CL73TsuS30,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq43,CL96,2639762528,Bacillus sp. CL96,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq43,MF112,2639762568,Bacillus sp. 112MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq43,MF166A,2636416173,Bacillus sp. 166AMFTsu,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq43,MF95,2517572209,Bacillus sp. 95MFCvi2.1,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq44,MF499,2593339197,Paenibacillus sp. UNC499MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq45,MF178,2593339196,Dyella marensis UNC178MFTsu3.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
USeq45,MF79,2556921674,Dyella japonica UNC79MFTsu3.2,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
USeq45,MF79_2,2556921674,Dyella japonica UNC79MFTsu3.2,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
USeq45,MF79_3,2556921674,Dyella japonica UNC79MFTsu3.2,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
USeq46,MF299,2521172643,Streptomyces canus 299MFChir4.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
USeq47,MF365,2639762559,Mycobacterium sp. 365MFTsu,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq48,MF305,2565956511,Sphingomonas sp. UNC305MFCol5.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
USeq48,MF305_2,2565956511,Sphingomonas sp. UNC305MFCol5.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
USeq48,MF305_3,2565956511,Sphingomonas sp. UNC305MFCol5.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
USeq48,MF305_4,2565956511,Sphingomonas sp. UNC305MFCol5.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
USeq49,MF22,2519899668,Luteibacter sp. 22Crub2.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter
USeq49,MF333_2,2639762574,Dyella sp. 333MFSha,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
USeq49,MF333_27f,2639762574,Dyella sp. 333MFSha,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
USeq49,MF333_3,2639762574,Dyella sp. 333MFSha,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
USeq50,MF280,2579778519,Mycobacterium sp. UNC280MFTsu5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq50,MF283,2636416058,Mycobacterium sp. 283MFTsu,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq50,MF360,2521172630,Mycobacterium sp. 360MFTsu5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq50,MF360_2,2521172630,Mycobacterium sp. 360MFTsu5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq51,MF397,2643221503,Pseudomonas sp. 397MF,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq52,MF267,2593339259,Mycobacterium sp. UNC267MFSha1.1M11,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq53,CL33,2639762575,Phyllobacterium sp. CL33Tsu,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Phyllobacterium
USeq53,MF177,2643221486,Phyllobacterium sp. 177MFSha,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Phyllobacterium
USeq53,MF302,2563366739,Phyllobacterium sp. UNC302MFCol5.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Phyllobacterium
USeq54,MF351,2521172628,Streptomyces sp. 351MFTsu5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
USeq55,MF42,2517572096,Rhizobium sp. 42MFCr.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium
USeq55,MF42_27F,2517572096,Rhizobium sp. 42MFCr.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium
USeq55,MF57,2228664006,Rhizobium sp. 57MFTsu3.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium
USeq56,MF215,2643221488,Bacillus sp. 215MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq56,MF27,2522125133,Bacillus flexus 27Col1.1E,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq57,MF106,2522125150,Bacillus sp. 171095_106,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq58,CL91,2643221535,Paenibacillus sp. CL91,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq58,CL9_27f,2576861824,Mycobacterium sp. UNCCL9,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq59,CL69,2593339129,Acinetobacter sp. UNC434CL69Tsu2S25,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
USeq60,MF35,2521172667,Pseudomonas sp. 35MFCvi1.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq60,MF36,2521172653,Pseudomonas mandelii 36MFCvi1.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq60,MF45,2519899642,Pseudomonas sp. 45MFCol3.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq61,MF110,2519899633,Variovorax paradoxus 110B,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
USeq62,CL130,2636416069,Paenibacillus sp. CL130,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq62,CL52,2563366513,Paenibacillus sp. UNCCL52,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq63,MF20,2517572232,Pseudomonas umsongensis 20MFCvi1.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq64,MF2,2517572231,Rhizobium sp. 2MFCol3.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium
USeq65,MF114,2521172631,Rhodococcus sp. 114MFTsu3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
USeq65,MF29,2519899643,Rhodococcus sp. 29MFTsu3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
USeq66,MF362,2563366511,Arthrobacter sp. UNC362MFTsu5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
USeq67,CL17,2563366719,Curtobacterium sp. UNCCL17,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium
