baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Id	Facet
126.147697636521	-0.656599871293839	0.116390872590952	-5.64133472563106	1.68736962627099e-08	5.21460446652507e-08	Global_Root_vs_Agar	Sequence_1	Root vs Agar
19.9565268389252	4.99190291273425	0.38115838225761	13.0966630804945	3.44054666816788e-39	1.97378729910684e-38	Global_Root_vs_Agar	Sequence_10	Root vs Agar
12.290266999096	-2.86857695551418	0.317221231872011	-9.04282774070926	1.52670342968247e-19	6.93377807647457e-19	Global_Root_vs_Agar	Sequence_11	Root vs Agar
147.057861855158	3.26706807606116	0.197351466311082	16.5545670226302	1.48405236760358e-61	1.79735231187544e-60	Global_Root_vs_Agar	Sequence_12	Root vs Agar
20.5943414940382	2.79567649088724	0.310570118907084	9.00175619188803	2.22135416771443e-19	9.68510417123494e-19	Global_Root_vs_Agar	Sequence_13	Root vs Agar
0.128876632841454	-1.13995179519698	3.6085755323072	-0.315900771645519	0.752077826207126	0.880356137856962	Global_Root_vs_Agar	Sequence_14	Root vs Agar
16.1678615783484	-4.5185734625893	0.329931183305163	-13.6955028540298	1.08010001798374e-42	6.92534717413102e-42	Global_Root_vs_Agar	Sequence_15	Root vs Agar
121.573036297994	-2.42214964102104	0.124723890179418	-19.4200937569918	5.21945619339798e-84	2.8446036254019e-82	Global_Root_vs_Agar	Sequence_16	Root vs Agar
0.318893849730239	-0.207355101135196	0.810664098171296	-0.255784241096836	0.79811744299975	0.887702053948702	Global_Root_vs_Agar	Sequence_17	Root vs Agar
0.171840207084066	-0.670397094972863	1.44281938469819	-0.464643809254819	0.642186553967999	0.819854137191138	Global_Root_vs_Agar	Sequence_18	Root vs Agar
208.862849327709	2.64630021795605	0.161270887039802	16.4090386462805	1.64794193457599e-60	1.79625670868783e-59	Global_Root_vs_Agar	Sequence_19	Root vs Agar
277.169047772707	-0.0929571503479353	0.139319036373196	-0.667225045247439	0.504628395655979	0.710098075444879	Global_Root_vs_Agar	Sequence_20	Root vs Agar
0.0181597172256278	-1.33032742041171	3.60975854371119	-0.368536400510602	0.712473308399128	NA	Global_Root_vs_Agar	Sequence_21	Root vs Agar
2.45602384041694	1.08985059578448	0.326833924031299	3.33456999304673	0.000854313970132187	0.00179077351431555	Global_Root_vs_Agar	Sequence_23	Root vs Agar
0.0143097511953503	-1.31858861451236	3.60978074757583	-0.365282189340134	0.714900772062942	NA	Global_Root_vs_Agar	Sequence_24	Root vs Agar
0.191917977052487	-0.474663450923907	1.54853933342009	-0.30652334149987	0.759206210628939	0.880356137856962	Global_Root_vs_Agar	Sequence_26	Root vs Agar
0.04364193174726	-1.00535825733769	3.6084589723383	-0.278611525042839	0.780542967104269	NA	Global_Root_vs_Agar	Sequence_27	Root vs Agar
0.0695399522701375	-1.67979846494508	3.60911282087002	-0.465432517163635	0.641621752419171	NA	Global_Root_vs_Agar	Sequence_28	Root vs Agar
74.3011467128837	0.266981078737559	0.176909360408128	1.50914048935362	0.131262884343044	0.207357310049156	Global_Root_vs_Agar	Sequence_3	Root vs Agar
76.8026276817291	0.0861383677519024	0.12730970059326	0.676604904029308	0.498656666791087	0.710098075444879	Global_Root_vs_Agar	Sequence_30	Root vs Agar
1.78995871718161	2.24434222858336	0.39842118936092	5.63308952564334	1.77009509414154e-08	5.21460446652507e-08	Global_Root_vs_Agar	Sequence_31	Root vs Agar
26.6498443104254	2.21648634423064	0.158252379679015	14.0060222078579	1.43204291238527e-44	1.11494769607139e-43	Global_Root_vs_Agar	Sequence_32	Root vs Agar
0.256518037584022	-0.75537085677824	0.834893466274526	-0.904751189572566	0.365597215449478	0.545891732657439	Global_Root_vs_Agar	Sequence_33	Root vs Agar
74.0089605183748	1.78188526969591	0.129997344140713	13.7070897984435	9.20775143483208e-43	6.27278066497936e-42	Global_Root_vs_Agar	Sequence_34	Root vs Agar
22.4644859539365	1.89123408411652	0.257077935928502	7.3566565613103	1.885736847745e-13	7.34090415729303e-13	Global_Root_vs_Agar	Sequence_35	Root vs Agar
13.3315016551942	3.89581366967848	0.286807282245008	13.5833847703715	5.02495270043669e-42	3.04288802415333e-41	Global_Root_vs_Agar	Sequence_36	Root vs Agar
2.58072122628614	3.46947183511661	0.849065308364598	4.08622493574638	4.38448730464437e-05	0.000103893286131791	Global_Root_vs_Agar	Sequence_37	Root vs Agar
0.00315708221686279	-1.32554663662436	3.60977611290865	-0.367210207825401	0.713462225664549	NA	Global_Root_vs_Agar	Sequence_38	Root vs Agar
1290.98578580502	-0.188367462210994	0.0780489840248151	-2.41345181573541	0.0158022171417672	0.0277813172331068	Global_Root_vs_Agar	Sequence_39	Root vs Agar
338.304290105343	-0.519386693048746	0.126654969995752	-4.10079993754818	4.1172440268116e-05	9.97287997605476e-05	Global_Root_vs_Agar	Sequence_4	Root vs Agar
58.5890369069862	-1.13122119401142	0.168573781435839	-6.71054053825075	1.93904766261238e-11	6.81794178144352e-11	Global_Root_vs_Agar	Sequence_40	Root vs Agar
145.931406946239	1.79633544163319	0.0909990092852207	19.7401648187496	9.74595991133432e-87	1.06230963033544e-84	Global_Root_vs_Agar	Sequence_42	Root vs Agar
0.165309887705532	-0.60821598777267	1.35616297686475	-0.448482961228433	0.653804680375145	0.819854137191138	Global_Root_vs_Agar	Sequence_43	Root vs Agar
0.377529825011208	-1.27062341356395	1.15905958002252	-1.09625375214901	0.272967742348141	0.413723748032917	Global_Root_vs_Agar	Sequence_44	Root vs Agar
