baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Id	Facet	Specific
126.147697636521	0.372082854211122	0.302398157493444	1.23044021595663	0.218532301440973	0.305120571823246	Root0Pi_vs_Agar0Pi	Sequence_1	Root vs Agar	0Pi
19.9565268389252	4.29289481588501	0.937393437404731	4.57960835289217	4.658474094432e-06	1.81435306835773e-05	Root0Pi_vs_Agar0Pi	Sequence_10	Root vs Agar	0Pi
12.290266999096	-2.21410518945116	0.803801582773435	-2.75454196272122	0.0058774352526869	0.0127920649617303	Root0Pi_vs_Agar0Pi	Sequence_11	Root vs Agar	0Pi
147.057861855158	2.51437239079367	0.52302442315258	4.8073708979746	1.52928112586783e-06	8.08334309387283e-06	Root0Pi_vs_Agar0Pi	Sequence_12	Root vs Agar	0Pi
20.5943414940382	4.74241404021862	0.714235154547876	6.63984964898662	3.14003283895878e-11	3.87270716804917e-10	Root0Pi_vs_Agar0Pi	Sequence_13	Root vs Agar	0Pi
0.128876632841454	-0.00949322380743341	9.11238249657862	-0.00104179382406278	0.999168768942601	NA	Root0Pi_vs_Agar0Pi	Sequence_14	Root vs Agar	0Pi
16.1678615783484	-3.62402247370796	0.789706282081751	-4.58907641478379	4.45211441761205e-06	1.81435306835773e-05	Root0Pi_vs_Agar0Pi	Sequence_15	Root vs Agar	0Pi
121.573036297994	-0.214988087697589	0.315108193128922	-0.682267527108155	0.49506980248345	0.638095541909943	Root0Pi_vs_Agar0Pi	Sequence_16	Root vs Agar	0Pi
0.318893849730239	0.175165464790376	2.02184194231062	0.0866365768385394	0.930960391082095	NA	Root0Pi_vs_Agar0Pi	Sequence_17	Root vs Agar	0Pi
0.171840207084066	-1.19616817623424	3.65356642012347	-0.327397408090317	0.743367326586405	NA	Root0Pi_vs_Agar0Pi	Sequence_18	Root vs Agar	0Pi
208.862849327709	3.23605211799138	0.417248074824278	7.75570293369054	8.78554643309456e-15	2.16710145349666e-13	Root0Pi_vs_Agar0Pi	Sequence_19	Root vs Agar	0Pi
277.169047772707	-1.17800207162648	0.351821824795318	-3.34829163117385	0.000813113991096696	0.00214894411932698	Root0Pi_vs_Agar0Pi	Sequence_20	Root vs Agar	0Pi
0.0181597172256278	0	9.12441862666597	0	1	NA	Root0Pi_vs_Agar0Pi	Sequence_21	Root vs Agar	0Pi
2.45602384041694	0.0589000217090897	0.695110768029064	0.0847347277846039	0.932472286460916	0.95048338646832	Root0Pi_vs_Agar0Pi	Sequence_23	Root vs Agar	0Pi
0.0143097511953503	0	9.12489056750157	0	1	NA	Root0Pi_vs_Agar0Pi	Sequence_24	Root vs Agar	0Pi
0.191917977052487	-0.811486414395689	3.90104393720613	-0.208017758184201	0.835215101610136	NA	Root0Pi_vs_Agar0Pi	Sequence_26	Root vs Agar	0Pi
0.04364193174726	-0.694079227092344	9.11626752975024	-0.0761363381260225	0.939310630385426	NA	Root0Pi_vs_Agar0Pi	Sequence_27	Root vs Agar	0Pi
0.0695399522701375	0	9.12459723343802	0	1	NA	Root0Pi_vs_Agar0Pi	Sequence_28	Root vs Agar	0Pi
74.3011467128837	0.715159287888814	0.439907439952	1.62570400711306	0.104012637218052	0.175906119371031	Root0Pi_vs_Agar0Pi	Sequence_3	Root vs Agar	0Pi
76.8026276817291	1.27235016829272	0.325786097950705	3.90547717135936	9.40396362440778e-05	0.000302562307915729	Root0Pi_vs_Agar0Pi	Sequence_30	Root vs Agar	0Pi
1.78995871718161	1.75664608376539	0.877176422502239	2.00261434154189	0.0452186993116993	0.0880574670806777	Root0Pi_vs_Agar0Pi	Sequence_31	Root vs Agar	0Pi
26.6498443104254	3.05352049863599	0.424896286867073	7.18650784442198	6.64694728691056e-13	1.22968524807845e-11	Root0Pi_vs_Agar0Pi	Sequence_32	Root vs Agar	0Pi
0.256518037584022	-1.09718826658671	2.1013215780567	-0.522142007222614	0.601571460422127	NA	Root0Pi_vs_Agar0Pi	Sequence_33	Root vs Agar	0Pi
74.0089605183748	0.436931916692363	0.306495139841613	1.42557535143349	0.153990955335894	0.242453844571407	Root0Pi_vs_Agar0Pi	Sequence_34	Root vs Agar	0Pi
22.4644859539365	2.05279256506209	0.683622272505286	3.00281697601684	0.00267493248297953	0.0065981667913495	Root0Pi_vs_Agar0Pi	Sequence_35	Root vs Agar	0Pi
13.3315016551942	2.92383682146752	0.559740697739722	5.22355589521042	1.75519449954698e-07	1.18076720878615e-06	Root0Pi_vs_Agar0Pi	Sequence_36	Root vs Agar	0Pi
2.58072122628614	0.523708110059168	2.19776495715144	0.238291227801701	0.811655224620378	0.88995472601184	Root0Pi_vs_Agar0Pi	Sequence_37	Root vs Agar	0Pi
0.00315708221686279	0	9.1246810156084	0	1	NA	Root0Pi_vs_Agar0Pi	Sequence_38	Root vs Agar	0Pi
1290.98578580502	-0.381988167644046	0.197052044155534	-1.93851410819438	0.0525605312718333	0.0981137164126037	Root0Pi_vs_Agar0Pi	Sequence_39	Root vs Agar	0Pi
338.304290105343	-1.72214019601736	0.31514492066561	-5.46459765995932	4.63957900025966e-08	3.81476495576905e-07	Root0Pi_vs_Agar0Pi	Sequence_4	Root vs Agar	0Pi
58.5890369069862	-0.908082214906962	0.416746062472142	-2.17898211088117	0.0293329971807698	0.0596462923423345	Root0Pi_vs_Agar0Pi	Sequence_40	Root vs Agar	0Pi
145.931406946239	1.16611450952356	0.219510740982081	5.31233462338298	1.08229631565377e-07	8.00899273583792e-07	Root0Pi_vs_Agar0Pi	Sequence_42	Root vs Agar	0Pi
