Plate	Well	row	column	Sample	Soil	Genotype	Plot	Fraction	OTU_Header	DADA2_Header	Phosphate	Pot	Depth	LDepth	Shannon	Richness
Plate1	E3	e	3	R28	medium-4	phr1/phl1	Plot11	Root	P59Plate1	Plate1_E3	medium	Pot28	39302	10.5790306871477	5.21935516319731	547
Plate1	E4	e	4	R26	medium-2	phr1/phl1	Plot5	Root	P56Plate1	Plate1_E4	medium	Pot26	40352	10.6053962387646	5.40422114670972	711
Plate1	E5	e	5	L51	high-3	phf1	Plot9	Shoot	P93Plate1	Plate1_E5	high	Pot51	41531	10.634195415314	3.93528101806794	329
Plate1	E6	e	6	R62	low+Pi-2	phr1/phl1	Plot4	Root	P63Plate1	Plate1_E6	low+Pi	Pot62	41978	10.6449009505056	4.6439981224001	412
Plate1	E8	e	8	L44	high-2	phr1/phl1	Plot6	Shoot	P54Plate1	Plate1_E8	high	Pot44	19159	9.86052785809599	5.76499718138521	548
Plate1	F10	f	10	L49	high-1	phf1	Plot3	Shoot	P19Plate1	Plate1_F10	high	Pot49	55169	10.9181564803092	4.87059728023659	507
Plate1	F11	f	11	L12	low-6	phr1/phl1	Plot16	Shoot	P48Plate1	Plate1_F11	low	Pot12	51902	10.857112604057	4.99705400387066	477
Plate1	F3	f	3	R56	low+Pi-2	Col-0	Plot4	Root	P64Plate1	Plate1_F3	low+Pi	Pot56	64914	11.0808185959156	5.35732327731168	616
Plate1	F8	f	8	L54	high-6	phf1	Plot18	Shoot	P50Plate1	Plate1_F8	high	Pot54	53765	10.8923779768246	5.89204612537635	762
Plate1	F9	f	9	L30	medium-6	phr1/phl1	Plot17	Shoot	P0Plate1	Plate1_F9	medium	Pot30	65447	11.0889959337711	4.51344005632956	437
Plate1	G1	g	1	R18	low-6	phf1	Plot16	Root	P81Plate1	Plate1_G1	low	Pot18	67344	11.1175690910104	5.32480521274668	520
Plate1	G10	g	10	L66	low+Pi-6	phr1/phl1	Plot16	Shoot	P62Plate1	Plate1_G10	low+Pi	Pot66	74787	11.2223993520667	4.89319243962596	613
Plate1	G11	g	11	R34	medium-4	phf1	Plot11	Root	P72Plate1	Plate1_G11	medium	Pot34	55016	10.9153793309997	4.95785034219669	502
Plate1	G12	g	12	R17	low-5	phf1	Plot13	Root	P45Plate1	Plate1_G12	low	Pot17	67035	11.1129701500357	5.42091666293216	682
Plate1	G2	g	2	L5	low-5	Col-0	Plot13	Shoot	P33Plate1	Plate1_G2	low	Pot5	28599	10.2611270311617	4.4339400561798	399
Plate1	G3	g	3	R9	low-3	phr1/phl1	Plot7	Root	P1Plate1	Plate1_G3	low	Pot9	57714	10.9632550573807	4.76219158027084	385
Plate1	G4	g	4	L40	high-4	Col-0	Plot12	Shoot	P11Plate1	Plate1_G4	high	Pot40	67614	11.1215703411804	4.10727141170139	357
Plate1	G5	g	5	R10	low-4	phr1/phl1	Plot10	Root	P53Plate1	Plate1_G5	low	Pot10	66427	11.1038588793204	4.93000901121226	510
Plate1	G9	g	9	S27	medium-3	phr1/phl1	Plot8	Soil	P20Plate1	Plate1_G9	medium	Pot27	60996	11.0185635672349	6.26723478777476	894
Plate1	H1	h	1	R8	low-2	phr1/phl1	Plot4	Root	P35Plate1	Plate1_H1	low	Pot8	66063	11.0983641111743	5.20218341584618	503
Plate1	H2	h	2	L21	medium-3	Col-0	Plot8	Shoot	P77Plate1	Plate1_H2	medium	Pot21	64196	11.069696182441	5.28199195223634	599
Plate1	H3	h	3	R71	low+Pi-5	phf1	Plot13	Root	P26Plate1	Plate1_H3	low+Pi	Pot71	76561	11.2458430876925	5.05482932565703	511
Plate1	H4	h	4	L46	high-4	phr1/phl1	Plot12	Shoot	P88Plate1	Plate1_H4	high	Pot46	65854	11.095195449442	4.68047340865912	403
Plate1	H5	h	5	S41	high-5	Col-0	Plot15	Soil	P10Plate1	Plate1_H5	high	Pot41	58547	10.9775851294552	6.51306931112572	1050
Plate1	H7	h	7	R20	medium-2	Col-0	Plot5	Root	P37Plate1	Plate1_H7	medium	Pot20	62514	11.0431458106402	4.74433614746166	549
Plate1	H8	h	8	L37	high-1	Col-0	Plot3	Shoot	P2Plate1	Plate1_H8	high	Pot37	66729	11.1083949200218	5.22432236317773	577
Plate1	H9	h	9	L65	low+Pi-5	phr1/phl1	Plot13	Shoot	P13Plate1	Plate1_H9	low+Pi	Pot65	67031	11.1129104779338	4.12184381201222	306
Plate2	A1	a	1	R31	medium-1	phf1	Plot2	Root	P4Plate2	Plate2_A1	medium	Pot31	53714	10.8914289541536	5.45882611893632	579
Plate2	A10	a	10	R69	low+Pi-3	phf1	Plot7	Root	P83Plate2	Plate2_A10	low+Pi	Pot69	58475	10.9763545914524	4.8869728546026	396
Plate2	A2	a	2	L45	high-3	phr1/phl1	Plot9	Shoot	P16Plate2	Plate2_A2	high	Pot45	46972	10.757306958485	4.77536732470197	396
Plate2	A3	a	3	L36	medium-6	phf1	Plot17	Shoot	P87Plate2	Plate2_A3	medium	Pot36	52011	10.859210513654	4.69881300661902	459
Plate2	A4	a	4	R13	low-1	phf1	Plot1	Root	P60Plate2	Plate2_A4	low	Pot13	36455	10.5038339022405	4.49889033156633	329
Plate2	A5	a	5	L64	low+Pi-4	phr1/phl1	Plot10	Shoot	P42Plate2	Plate2_A5	low+Pi	Pot64	38391	10.5555783361057	3.90973338971229	220
