Id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV106	46.8810508795515	-1.29210732692962	0.511683495061337	-2.52520814018973	0.0115629782681526	0.0352051391914288	Shoot-Soil	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	unidentified	Powellomycetaceae_sp
ASV106	46.8810508795515	-0.370236844136973	0.51555588557225	-0.718131350059214	0.47267630169405	0.600680567245979	Root-Shoot	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	unidentified	Powellomycetaceae_sp
ASV108	66.3659603093277	-1.85261742133075	0.539937564054982	-3.43116972158303	0.000600984464444277	0.00285956794012324	Root-Soil	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_sake
ASV108	66.3659603093277	-1.01711209691826	0.5556190632312	-1.83059251243693	0.0671613869807379	0.144755004923523	Root-Shoot	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_sake
ASV108	66.3659603093277	-0.835505324412495	0.552271148976516	-1.51285347054771	0.130316883143584	0.23869581268506	Shoot-Soil	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_sake
ASV109	182.518647916323	9.68504172056317	1.61413663389712	6.00013748351645	1.97150531147948e-09	4.03369986728703e-08	Root-Soil	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophoma	Setophoma_terrestris
ASV109	182.518647916323	3.60316117792265	1.65034201904368	2.18328148731895	0.0290150870117865	0.0765011185903546	Root-Shoot	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophoma	Setophoma_terrestris
ASV109	182.518647916323	6.08188054264052	1.66273058108153	3.65776669524208	0.000254422471504981	0.0013698641492084	Shoot-Soil	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophoma	Setophoma_terrestris
ASV11	2570.65598542834	-0.429495154380524	0.512574249666774	-0.837917930250573	0.402076797855074	0.539088550728362	Root-Soil	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_coccodes
ASV11	2570.65598542834	3.33889083638659	0.526204005804939	6.34524024817914	2.22078603390939e-10	5.28340491323094e-09	Shoot-Soil	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_coccodes
