Gene,pvalue,padj,Significance,Cluster,PSR_Regulon
AT3G19710,0.000202173359110674,0.0298222008991398,Significant,Cluster1,No
AT2G26480,0.000207279940968996,0.0303308592021112,Significant,Cluster1,No
AT5G45380,0.000210268146987064,0.0305239260042889,Significant,Cluster1,No
AT2G04050,0.0002129780262077,0.0305856825377645,Significant,Cluster1,No
AT4G36870,0.000214037907431735,0.0305856825377645,Significant,Cluster1,No
AT1G31290,0.000266569924812123,0.0365742356402513,Significant,Cluster1,No
AT1G72520,0.00026296616061636,0.0365742356402513,Significant,Cluster1,Yes
AT3G19450,0.000296260962653078,0.0387064947706246,Significant,Cluster1,No
AT3G08040,0.00031491706459202,0.0408521136769691,Significant,Cluster1,No
AT2G21900,0.000366203536091388,0.0471706259059689,Significant,Cluster1,No
AT5G62480,0.000383388898541153,0.0490389254770366,Significant,Cluster1,No
AT1G12110,0.000387953260702378,0.0492781464688,Significant,Cluster1,No
AT4G12030,0.0004192252465346,0.0528830964438922,Significant,Cluster1,No
AT2G18193,0.000436445958760123,0.054678308436174,Significant,Cluster1,No
AT4G28040,0.000463432977199095,0.0568902858117358,Significant,Cluster1,No
AT3G13610,0.000516567477518319,0.0621614192847866,Significant,Cluster1,No
AT4G12400,0.000523842967686283,0.0626249132153582,Significant,Cluster1,No
AT3G47780,0.000541086651166201,0.0638517157192321,Significant,Cluster1,No
AT5G14730,0.000554466294047471,0.0641882467368499,Significant,Cluster1,No
AT2G41380,0.000655530881276032,0.0721399832170376,Significant,Cluster1,No
AT3G61400,0.000659162021814639,0.0721399832170376,Significant,Cluster1,No
AT4G08780,0.000672100048627173,0.0727419052629563,Significant,Cluster1,No
AT5G17860,0.000733254537966932,0.0775257731442379,Significant,Cluster1,No
AT3G26570,0.000832985788790999,0.0857799354508048,Significant,Cluster1,No
AT5G47220,0.000834772757653669,0.0857799354508048,Significant,Cluster1,No
AT2G26560,0.000847659400392922,0.0861363227365941,Significant,Cluster1,No
AT5G08610,0.000845092246711872,0.0861363227365941,Significant,Cluster1,No
